,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: National Accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Gross Domestic Product (GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Gross Domestic Product In Chained (2015) Dollars, By Industry (SSIC 2015 Version 2018), Quarterly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 24/11/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Million Dollars
Data Series,2021 3Q,2021 2Q,2021 1Q,2020 4Q,2020 3Q,2020 2Q,2020 1Q,2019 4Q,2019 3Q,2019 2Q,2019 1Q,2018 4Q,2018 3Q,2018 2Q,2018 1Q,2017 4Q,2017 3Q,2017 2Q,2017 1Q,2016 4Q,2016 3Q,2016 2Q,2016 1Q,2015 4Q,2015 3Q,2015 2Q,2015 1Q,2014 4Q,2014 3Q,2014 2Q,2014 1Q,2013 4Q,2013 3Q,2013 2Q,2013 1Q,2012 4Q,2012 3Q,2012 2Q,2012 1Q,2011 4Q,2011 3Q,2011 2Q,2011 1Q,2010 4Q,2010 3Q,2010 2Q,2010 1Q,2009 4Q,2009 3Q,2009 2Q,2009 1Q,2008 4Q,2008 3Q,2008 2Q,2008 1Q,2007 4Q,2007 3Q,2007 2Q,2007 1Q,2006 4Q,2006 3Q,2006 2Q,2006 1Q,2005 4Q,2005 3Q,2005 2Q,2005 1Q,2004 4Q,2004 3Q,2004 2Q,2004 1Q,2003 4Q,2003 3Q,2003 2Q,2003 1Q,2002 4Q,2002 3Q,2002 2Q,2002 1Q,2001 4Q,2001 3Q,2001 2Q,2001 1Q,2000 4Q,2000 3Q,2000 2Q,2000 1Q,1999 4Q,1999 3Q,1999 2Q,1999 1Q,1998 4Q,1998 3Q,1998 2Q,1998 1Q,1997 4Q,1997 3Q,1997 2Q,1997 1Q,1996 4Q,1996 3Q,1996 2Q,1996 1Q,1995 4Q,1995 3Q,1995 2Q,1995 1Q,1994 4Q,1994 3Q,1994 2Q,1994 1Q,1993 4Q,1993 3Q,1993 2Q,1993 1Q,1992 4Q,1992 3Q,1992 2Q,1992 1Q,1991 4Q,1991 3Q,1991 2Q,1991 1Q,1990 4Q,1990 3Q,1990 2Q,1990 1Q,1989 4Q,1989 3Q,1989 2Q,1989 1Q,1988 4Q,1988 3Q,1988 2Q,1988 1Q,1987 4Q,1987 3Q,1987 2Q,1987 1Q,1986 4Q,1986 3Q,1986 2Q,1986 1Q,1985 4Q,1985 3Q,1985 2Q,1985 1Q,1984 4Q,1984 3Q,1984 2Q,1984 1Q,1983 4Q,1983 3Q,1983 2Q,1983 1Q,1982 4Q,1982 3Q,1982 2Q,1982 1Q,1981 4Q,1981 3Q,1981 2Q,1981 1Q,1980 4Q,1980 3Q,1980 2Q,1980 1Q,1979 4Q,1979 3Q,1979 2Q,1979 1Q,1978 4Q,1978 3Q,1978 2Q,1978 1Q,1977 4Q,1977 3Q,1977 2Q,1977 1Q,1976 4Q,1976 3Q,1976 2Q,1976 1Q,1975 4Q,1975 3Q,1975 2Q,1975 1Q
GDP In Chained (2015) Dollars,"121,514.4","119,660.0","119,367.5","118,906.7","113,497.3","103,828.8","117,588.4","121,815.1","120,525.5","119,799.0","117,541.3","120,214.1","119,233.2","118,184.6","115,681.9","118,354.5","115,677.6","112,747.4","110,539.7","113,187.4","109,857.0","108,824.4","105,671.9","108,278.4","106,808.0","105,879.3","102,478.4","105,970.4","103,016.3","102,650.8","99,519.1","101,381.3","99,419.1","99,365.9","95,412.4","96,428.4","93,664.1","94,966.9","92,266.9","91,994.7","91,794.6","89,456.8","87,964.4","87,402.8","85,121.6","86,784.0","80,373.5","77,073.7","77,100.8","73,148.3","69,276.2","72,178.8","74,983.6","74,012.7","75,065.5","74,732.4","75,040.2","71,640.6","69,394.4","70,094.1","67,616.2","65,104.9","63,926.6","64,706.6","62,296.2","59,802.7","57,900.2","59,172.2","57,378.1","56,332.1","55,049.7","54,945.7","52,989.6","49,687.8","49,928.3","50,474.8","50,318.7","49,817.5","47,934.8","47,586.1","47,195.8","47,807.2","48,477.2","50,041.6","49,703.4","47,521.1","45,864.8","45,659.4","45,328.5","43,959.4","42,173.4","42,620.1","41,954.9","41,691.8","41,264.4","43,741.9","44,174.2","42,726.8","40,648.8","40,846.5","39,815.5","39,029.7","38,443.3","38,642.8","38,257.0","35,865.9","34,375.8","35,846.1","35,285.4","33,442.8","32,683.4","32,876.6","31,561.0","30,309.8","28,799.5","29,122.0","28,303.8","26,983.6","26,432.0","26,794.8","26,526.0","25,605.2","25,014.1","25,154.8","24,727.4","24,035.3","23,506.4","23,276.1","22,717.0","22,100.9","20,617.5","21,265.4","20,667.6","19,835.7","18,762.0","19,203.0","18,583.8","17,710.3","16,881.1","17,070.8","16,555.6","16,075.7","15,622.5","16,023.9","16,094.5","16,062.9","16,277.7","16,650.1","16,476.3","16,072.7","15,663.9","15,718.6","15,140.1","14,638.5","14,123.7","14,290.6","13,947.4","13,553.7","13,130.8","13,516.1","13,103.6","12,623.8","12,037.0","12,246.6","11,788.6","11,326.0","10,914.1","11,288.5","10,684.1","10,266.4","9,786.2","10,274.0","9,877.3","9,273.3","8,935.6","9,322.7","9,074.9","8,732.9","8,461.6","8,694.2","8,530.7","8,118.5","7,966.1","8,128.6","7,954.6","7,558.6","7,361.9"
  Goods Producing Industries,"33,763.1","33,087.5","32,682.4","30,374.7","30,384.0","26,942.7","30,892.8","29,247.1","30,060.0","29,938.2","28,942.2","30,126.5","30,276.7","29,988.2","28,891.8","29,075.9","29,428.5","27,637.2","26,833.9","27,769.3","25,991.2","26,510.1","25,418.0","25,911.1","25,804.8","26,058.9","25,211.2","26,762.9","26,546.0","26,419.5","25,916.8","26,616.5","25,758.4","25,715.2","23,669.7","25,045.5","24,637.6","25,461.3","24,751.3","24,756.9","24,474.1","24,135.4","24,410.0","22,835.9","22,660.6","24,862.4","21,214.2","19,197.8","20,195.3","18,125.1","16,304.9","17,972.5","18,544.6","17,541.2","19,369.3","19,067.0","19,742.3","17,878.6","17,329.9","18,839.0","17,629.1","16,498.2","16,116.9","17,357.5","15,977.7","14,860.1","13,873.4","15,322.3","14,346.0","14,183.6","13,482.1","13,791.9","13,222.8","12,229.0","12,424.8","12,744.0","12,998.4","13,089.5","12,040.3","11,988.1","11,852.1","12,085.5","12,621.5","14,297.4","13,982.5","12,853.2","12,145.9","12,390.8","12,457.3","11,757.7","11,370.4","11,489.1","11,347.1","11,222.7","10,805.2","11,948.1","11,807.2","11,023.9","9,984.8","10,883.0","10,570.6","10,449.6","10,164.8","10,642.6","10,541.3","9,606.8","8,766.8","9,561.2","9,480.5","8,868.0","8,239.1","8,435.5","8,230.8","7,784.4","7,183.9","7,755.0","7,425.7","7,034.9","6,731.9","7,218.8","7,083.9","6,763.0","6,530.6","6,827.1","6,618.2","6,352.2","5,943.8","6,294.9","6,096.0","5,860.0","5,378.8","5,736.9","5,675.2","5,485.6","4,980.6","5,239.4","5,026.7","4,794.1","4,365.8","4,588.2","4,534.3","4,506.5","4,100.7","4,272.9","4,511.8","4,565.3","4,712.0","5,041.6","5,128.9","5,083.7","4,786.5","4,914.1","4,696.1","4,502.8","4,166.7","4,216.3","4,222.7","4,177.2","3,947.4","4,177.6","4,043.5","3,982.4","3,576.6","3,805.7","3,643.1","3,584.9","3,273.0","3,543.4","3,309.0","3,247.8","2,960.6","3,219.2","3,024.5","2,859.9","2,607.9","2,886.2","2,819.9","2,751.7","2,540.6","2,701.8","2,692.9","2,553.0","2,413.7","2,555.4","2,466.6","2,220.9","2,088.2"
    Manufacturing,"28,165.2","27,767.6","27,141.6","24,977.9","26,273.4","23,551.8","24,408.0","22,649.5","23,667.5","23,650.5","22,529.4","23,598.6","23,965.9","23,764.6","22,533.7","22,564.7","23,163.3","21,489.2","20,481.4","21,335.5","19,414.0","19,795.1","18,888.2","19,089.7","19,062.6","19,487.7","18,958.2","20,353.6","20,214.4","20,359.2","19,810.7","20,591.8","19,876.4","20,083.6","18,076.6","19,218.6","18,888.5","19,927.5","19,301.2","19,261.1","19,164.6","19,147.0","19,516.8","17,616.8","17,596.9","19,901.7","16,391.1","14,017.3","15,475.4","13,701.7","11,948.5","13,683.4","14,391.1","13,777.4","15,678.5","15,327.3","16,160.8","14,589.8","13,967.5","15,521.4","14,457.1","13,578.4","13,121.3","14,320.6","13,118.0","12,131.8","11,070.4","12,512.7","11,544.2","11,464.9","10,721.5","10,945.9","10,394.4","9,550.7","9,728.2","9,910.6","10,116.9","10,286.7","9,123.4","9,000.5","8,744.7","9,059.7","9,553.5","11,058.1","10,827.2","9,958.3","9,288.3","9,323.7","9,395.8","8,777.3","8,224.6","8,211.3","7,990.6","7,908.7","7,492.6","8,471.1","8,361.0","7,943.5","7,059.5","7,809.5","7,636.2","7,629.7","7,447.5","7,931.7","7,967.6","7,244.7","6,556.2","7,116.7","7,095.7","6,713.6","6,064.3","6,341.1","6,237.2","5,950.2","5,421.9","5,852.6","5,639.8","5,328.8","5,018.1","5,469.5","5,475.1","5,328.9","5,075.7","5,361.5","5,272.0","5,014.7","4,599.2","4,947.6","4,794.9","4,624.1","4,124.7","4,484.3","4,387.5","4,214.8","3,754.2","3,984.4","3,699.7","3,457.3","3,090.6","3,302.8","3,187.7","2,987.6","2,639.1","2,716.4","2,821.5","2,846.3","2,793.8","3,027.8","3,082.9","3,071.1","2,876.3","2,969.3","2,889.1","2,755.1","2,603.4","2,639.1","2,743.4","2,819.4","2,709.6","2,909.0","2,910.0","2,909.3","2,579.1","2,758.8","2,650.3","2,593.4","2,342.8","2,576.1","2,398.3","2,325.3","2,105.2","2,304.6","2,168.4","2,003.9","1,787.3","1,989.7","1,902.0","1,848.7","1,683.2","1,816.1","1,766.1","1,639.4","1,569.2","1,679.2","1,627.7","1,417.9","1,353.0"
    Construction,"3,803.4","3,527.5","3,797.9","3,718.7","2,286.9","1,622.0","4,946.8","5,125.6","4,819.0","4,716.6","4,960.3","5,004.8","4,747.3","4,662.1","4,904.1","4,990.4","4,712.5","4,635.4","4,876.7","4,907.1","5,049.7","5,179.6","5,065.6","5,290.7","5,208.7","5,084.2","4,850.2","4,982.1","4,876.9","4,659.1","4,762.5","4,664.1","4,486.6","4,281.6","4,296.2","4,492.2","4,389.5","4,217.6","4,194.0","4,234.6","4,008.7","3,690.8","3,683.4","3,950.1","3,809.9","3,705.5","3,637.1","3,967.1","3,561.7","3,289.7","3,294.0","3,289.1","3,067.7","2,661.9","2,519.2","2,576.5","2,338.1","2,076.5","2,229.3","2,078.6","1,956.4","1,710.0","1,894.8","1,869.8","1,746.2","1,623.8","1,843.9","1,772.2","1,744.9","1,653.5","1,856.6","1,912.2","1,909.2","1,750.2","1,822.1","1,973.2","2,002.7","1,932.5","2,179.6","2,259.6","2,391.6","2,289.4","2,384.0","2,512.7","2,418.8","2,181.9","2,195.2","2,375.5","2,372.0","2,301.9","2,524.1","2,638.5","2,723.2","2,668.6","2,698.9","2,854.6","2,822.5","2,471.5","2,369.1","2,497.4","2,352.9","2,253.9","2,200.3","2,172.1","2,029.2","1,831.2","1,709.0","1,928.2","1,863.0","1,658.0","1,703.4","1,616.0","1,517.7","1,382.0","1,340.1","1,462.6","1,348.1","1,274.7","1,291.5","1,323.0","1,170.4","1,015.8","1,056.0","1,051.5",935.2,931.8,950.5,950.7,907.4,855.1,883.1,871.5,908.5,904.0,870.6,879.0,962.0,982.8,931.0,931.0,998.7,"1,185.6","1,139.6","1,228.9","1,359.8","1,382.2","1,584.8","1,676.3","1,719.5","1,690.1","1,608.2","1,633.0","1,491.8","1,431.8","1,260.5","1,278.4","1,180.2","1,066.3",949.2,973.0,825.3,764.6,691.6,736.0,685.5,693.4,643.7,664.9,615.2,633.1,574.7,623.9,572.0,583.6,552.7,629.5,656.0,640.5,606.4,633.8,680.0,673.3,606.9,649.7,608.3,576.6,509.6
    Utilities,"1,506.3","1,504.0","1,461.5","1,468.9","1,439.8","1,391.7","1,470.5","1,481.8","1,497.5","1,484.5","1,439.9","1,465.5","1,484.6","1,483.7","1,409.0","1,483.2","1,510.7","1,477.2","1,440.1","1,492.4","1,494.9","1,500.2","1,428.8","1,478.5","1,485.4","1,463.9","1,388.1","1,438.1","1,466.6","1,439.9","1,361.2","1,409.5","1,435.8","1,402.8","1,324.0","1,368.8","1,390.3","1,374.2","1,308.5","1,323.8","1,368.3","1,364.5","1,271.5","1,332.7","1,318.2","1,313.7","1,244.7","1,261.3","1,238.1","1,212.0","1,108.4","1,191.8","1,220.4","1,189.1","1,152.9","1,183.1","1,177.6","1,164.7","1,135.6","1,130.0","1,149.3","1,133.9","1,067.9","1,068.0","1,044.1","1,065.5","1,011.7","1,012.8","1,074.3","1,073.3",956.9,997.5,"1,002.9","1,017.1",959.7,964.9,983.7,957.1,891.8,902.0,916.3,912.7,844.1,862.5,869.6,838.7,774.0,796.7,795.6,782.8,732.0,750.8,748.9,760.4,723.7,736.5,739.5,703.0,647.5,667.8,669.9,646.5,588.8,601.6,606.8,590.2,556.1,568.7,577.3,547.1,517.1,521.7,523.3,499.0,458.4,477.5,477.2,468.4,453.3,461.0,470.7,445.2,424.4,433.5,432.0,423.3,402.5,403.0,400.0,387.9,372.7,381.2,382.8,368.2,352.3,364.5,352.8,337.1,318.9,329.6,324.8,313.8,292.7,294.9,297.6,302.0,292.7,291.2,291.6,287.7,270.1,272.3,276.6,272.9,246.5,254.3,253.1,246.8,232.1,241.5,242.1,236.6,223.1,225.2,225.2,221.7,212.0,212.0,210.5,207.0,199.4,203.2,198.2,188.0,181.3,176.6,176.6,172.2,157.6,162.0,161.3,154.4,146.7,149.9,149.9,142.0,136.8
    Other Goods Industries,40.4,42.3,41.9,39.7,35.6,28.3,36.2,39.4,42.0,36.5,37.4,37.8,38.3,35.6,34.3,34.3,38.9,34.0,34.3,34.3,32.6,35.1,35.5,33.4,35.5,34.0,35.2,33.5,36.0,34.2,35.1,33.2,34.4,32.8,34.0,32.0,32.9,32.9,32.1,32.2,29.5,30.2,32.6,29.4,29.8,30.5,29.9,31.6,27.1,26.6,31.1,26.2,26.6,28.2,31.0,29.7,27.9,29.1,32.3,32.5,27.5,28.3,30.7,30.1,29.3,27.2,30.4,27.1,30.0,25.4,27.0,27.8,27.5,26.0,28.2,28.8,29.2,29.6,31.8,34.5,35.6,36.5,37.7,41.0,42.7,39.9,41.8,46.8,45.3,43.7,40.1,45.4,43.7,43.0,45.6,49.5,47.4,51.3,48.8,52.0,50.1,50.1,49.8,51.9,49.1,47.6,47.3,53.1,51.2,50.7,50.8,51.0,50.3,48.9,49.2,52.0,50.3,51.2,54.9,55.3,55.2,54.4,53.6,60.8,56.1,57.6,63.7,68.2,65.0,60.3,66.1,70.3,67.2,67.5,67.2,77.6,78.7,81.8,82.3,89.0,87.4,85.9,87.7,93.3,98.1,100.4,109.1,118.5,112.2,111.1,104.3,111.4,106.8,106.3,108.1,107.3,103.9,97.6,98.5,105.7,99.6,97.9,100.3,105.2,98.7,96.2,92.1,103.3,96.5,96.1,91.4,99.2,94.8,93.6,92.2,99.3,97.1,99.1,98.5,98.7,98.1,97.1,96.1,96.7,88.6,86.0,83.5
  Services Producing Industries,"75,977.8","74,799.1","74,178.4","75,958.7","71,464.9","67,451.7","74,470.2","79,686.6","77,940.7","77,279.1","75,879.6","77,685.5","76,737.6","75,713.5","74,481.6","76,303.8","74,262.3","73,215.0","71,594.9","73,525.0","72,098.0","70,623.6","69,080.8","71,088.5","70,462.7","69,314.8","67,235.3","69,181.9","66,847.8","66,525.5","64,261.7","65,321.0","64,193.7","63,949.7","62,292.5","61,672.7","59,553.8","60,042.6","58,053.1","58,114.8","58,087.5","56,095.6","54,619.0","55,473.1","53,518.6","52,676.6","50,298.4","49,305.4","48,174.7","46,626.5","45,048.8","46,149.2","48,043.9","48,173.2","47,212.8","46,874.7","46,113.2","44,874.1","43,282.5","42,771.5","41,823.9","40,755.3","39,776.6","39,295.1","38,742.6","37,743.9","36,770.4","36,483.0","36,001.6","35,226.1","34,392.5","34,330.0","33,237.3","31,098.4","30,971.7","31,276.1","30,990.3","30,221.1","29,595.1","29,384.0","29,314.0","29,692.0","29,386.5","29,055.2","29,086.4","28,263.7","27,394.5","26,984.5","26,769.2","26,466.7","25,116.2","25,553.6","25,111.2","25,132.6","24,871.1","26,092.4","26,751.2","26,222.8","25,410.4","24,710.0","23,992.2","23,444.2","23,073.7","22,774.3","22,609.4","21,497.2","20,711.5","21,309.3","20,930.0","20,086.3","19,981.0","19,845.8","18,940.3","18,361.9","17,562.6","17,291.3","16,845.8","16,152.3","15,845.1","15,733.6","15,564.0","15,205.2","14,882.1","14,699.2","14,483.5","14,132.0","13,937.9","13,293.1","13,254.3","12,948.7","12,028.6","12,250.1","11,890.6","11,353.0","10,924.5","11,013.5","10,709.5","10,233.5","9,926.1","9,888.3","9,477.5","9,120.5","9,116.3","9,330.5","9,161.7","9,126.2","9,076.3","9,141.5","8,895.0","8,595.0","8,508.4","8,532.5","8,278.2","8,019.4","7,874.1","8,089.6","7,793.2","7,483.5","7,325.5","7,428.6","7,195.2","6,857.4","6,723.7","6,748.0","6,493.1","6,165.3","6,058.9","6,149.4","5,864.4","5,583.3","5,425.2","5,639.3","5,471.0","5,112.4","5,030.2","5,127.5","4,969.4","4,745.9","4,701.8","4,761.5","4,646.1","4,420.6","4,405.0","4,413.8","4,352.1","4,247.0","4,183.4"
    Wholesale & Retail Trade,"16,816.6","16,782.6","16,514.9","17,732.3","15,948.1","15,835.8","15,933.1","17,516.9","16,842.0","16,897.7","16,672.3","17,844.0","17,290.3","16,999.4","16,451.5","18,005.8","16,593.7","16,267.5","16,113.4","18,013.3","16,793.3","15,945.8","15,127.2","16,940.9","16,591.0","16,466.5","15,586.1","16,794.0","15,732.3","15,754.5","14,919.3","15,941.6","15,129.3","15,098.3","14,753.3","15,052.8","14,273.7","14,633.0","13,436.3","13,994.1","13,761.0","13,306.3","12,635.6","13,210.8","12,708.5","12,376.8","11,664.7","11,327.7","10,964.6","10,544.9","10,045.6","10,584.1","11,350.7","11,450.7","11,245.1","11,000.7","10,988.9","10,688.7","10,429.3","10,565.4","10,309.1","9,845.3","9,503.3","9,547.6","9,252.8","8,888.6","8,483.9","8,831.9","8,352.7","8,050.3","7,640.9","7,771.6","7,187.1","6,684.8","6,369.9","6,726.7","6,499.0","6,005.2","5,645.3","5,980.0","5,774.5","5,772.7","5,811.6","6,255.1","6,178.3","5,749.0","5,336.7","5,392.6","5,028.5","4,878.9","4,420.8","4,729.8","4,543.1","4,549.6","4,518.9","4,912.4","5,233.3","5,023.1","4,803.7","5,005.0","4,700.9","4,458.6","4,478.4","4,808.2","4,619.0","4,294.3","4,144.7","4,419.5","4,048.7","3,789.2","3,675.5","3,799.8","3,503.1","3,297.9","3,287.3","3,080.3","2,854.3","2,713.9","2,692.8","2,970.9","2,930.6","2,785.3","2,760.1","2,804.4","2,554.9","2,528.9","2,492.0","2,499.2","2,484.2","2,324.8","2,007.4","2,367.7","2,255.5","2,120.1","1,851.4","2,008.2","1,910.9","1,815.6","1,542.1","1,785.4","1,666.5","1,621.5","1,509.7","1,694.3","1,622.2","1,631.4","1,683.6","1,898.5","1,741.1","1,606.8","1,644.8","1,773.5","1,660.9","1,551.2","1,555.7","1,672.9","1,578.2","1,485.8","1,499.4","1,592.9","1,506.3","1,421.9","1,414.0","1,544.3","1,468.2","1,376.9","1,341.5","1,471.0","1,417.9","1,307.5","1,292.6","1,390.8","1,354.0","1,238.8","1,236.3","1,314.3","1,252.5","1,194.3","1,151.9","1,201.4","1,168.9","1,101.9","1,060.4","1,135.9","1,129.3","1,138.5","1,076.0"
      Wholesale Trade,"15,098.7","15,112.2","14,749.6","15,877.7","14,261.4","14,617.5","14,208.3","15,597.7","15,012.1","15,063.0","14,772.8","15,840.6","15,420.6","15,116.7","14,563.5","15,996.4","14,757.7","14,435.7","14,220.9","16,058.4","14,960.3","14,115.8","13,246.2","15,024.6","14,809.4","14,697.8","13,774.3","14,950.7","14,044.5","14,098.0","13,209.1","14,207.7","13,513.1","13,444.7","13,092.0","13,342.2","12,681.3","13,027.9","11,812.5","12,323.4","12,206.5","11,757.2","11,104.8","11,604.0","11,211.1","10,923.9","10,158.3","9,811.7","9,526.9","9,119.6","8,601.6","9,077.6","9,817.6","9,893.0","9,659.5","9,411.2","9,496.1","9,121.7","8,868.6","9,002.3","8,877.1","8,401.7","8,047.8","8,070.4","7,893.6","7,542.1","7,093.2",na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
