,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: Public Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Government Revenue and Expenditure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Government Development Expenditure By Sector, Quarterly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 24/11/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: ACCOUNTANT-GENERAL'S DEPARTMENT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Million Dollars
Data Series,2021 2Q,2021 1Q,2020 4Q,2020 3Q,2020 2Q,2020 1Q,2019 4Q,2019 3Q,2019 2Q,2019 1Q,2018 4Q,2018 3Q,2018 2Q,2018 1Q,2017 4Q,2017 3Q,2017 2Q,2017 1Q,2016 4Q,2016 3Q,2016 2Q,2016 1Q,2015 4Q,2015 3Q,2015 2Q,2015 1Q,2014 4Q,2014 3Q,2014 2Q,2014 1Q,2013 4Q,2013 3Q,2013 2Q,2013 1Q,2012 4Q,2012 3Q,2012 2Q,2012 1Q,2011 4Q,2011 3Q,2011 2Q,2011 1Q,2010 4Q,2010 3Q,2010 2Q,2010 1Q,2009 4Q,2009 3Q,2009 2Q,2009 1Q,2008 4Q,2008 3Q,2008 2Q,2008 1Q,2007 4Q,2007 3Q,2007 2Q,2007 1Q,2006 4Q,2006 3Q,2006 2Q
Total Government Development Expenditure,"3,770.5","4,370.3","4,929.3","2,511.4","2,375.6","3,613.2","6,350.8","3,516.2","3,821.5","2,982.2","7,740.2","4,272.2","4,669.6","3,581.3","6,470.2","3,821.2","3,321.5","4,362.3","5,245.6","4,976.4","3,601.0","5,093.1","8,165.0","3,821.9","3,229.9","4,139.7","4,605.0","2,888.1","3,247.8","3,222.1","3,688.9","2,959.8","2,404.9","2,949.4","3,625.1","3,231.7","2,632.3","3,094.3","3,502.3","2,806.0","2,994.5","2,110.5","3,849.7","2,644.3","3,031.5","2,542.3","3,076.5","2,818.5","2,482.4","2,604.4","2,678.2","2,716.0","1,754.2","2,208.5","2,201.2","1,944.7","1,688.3","1,195.5","2,154.3","1,517.2","1,182.7"
  Social Development,766.2,855.8,"1,704.7",788.9,372.5,797.7,"1,688.6","1,001.8","1,159.8",709.7,"1,509.5","1,029.4",769.7,"1,110.9","1,537.3","1,237.4","1,081.3","1,762.7","1,703.5","1,193.6","1,164.6",838.3,"1,525.6","1,312.4","1,204.2",992.0,"1,708.3",941.8,"1,187.1",757.9,"1,036.4",801.5,852.1,546.3,"1,103.9",897.4,684.3,696.1,"1,266.8",851.3,849.1,636.0,"1,389.3",818.3,923.6,512.1,"1,225.0",688.2,814.6,703.2,855.2,565.3,722.8,594.3,"1,002.6",756.3,642.1,423.4,955.1,440.2,359.8
    Education,62.6,29.6,189.3,106.4,30.2,167.2,181.6,131.4,392.1,86.0,208.8,105.8,90.9,41.5,260.5,138.5,164.7,47.4,223.9,131.4,202.6,98.8,221.5,144.7,263.0,70.1,225.4,225.2,347.9,87.5,326.7,267.7,292.3,86.8,279.6,272.5,251.0,56.5,479.3,320.7,174.5,68.0,371.0,142.6,252.7,110.3,335.4,125.3,220.0,166.4,221.6,189.6,257.9,84.1,324.4,173.8,129.9,114.0,263.3,131.2,124.3
    Health,272.8,181.2,384.9,214.0,170.3,180.0,692.7,297.2,268.5,145.5,437.4,333.8,313.6,405.5,454.1,370.0,385.3,256.0,693.0,453.3,341.8,131.1,486.5,312.3,365.4,248.8,356.9,322.4,275.7,191.8,315.7,148.6,166.1,92.5,269.4,157.1,121.0,57.8,261.5,74.3,77.7,39.6,214.0,100.9,126.5,43.5,342.4,139.0,137.3,91.9,206.5,62.8,49.0,18.2,115.4,28.4,23.7,17.9,61.2,17.9,11.3
    National Development,184.4,332.9,702.7,260.8,47.0,180.6,255.3,252.1,234.9,183.7,332.4,252.2,269.4,337.1,499.1,311.1,240.6,206.0,302.3,274.6,301.0,370.1,335.0,296.0,315.3,374.7,322.0,232.6,427.6,325.7,157.4,205.8,249.9,287.7,328.9,299.2,222.5,503.1,304.1,380.0,467.0,421.1,479.8,465.7,417.9,282.9,336.9,323.8,296.8,349.5,243.8,185.6,275.0,390.2,306.1,300.6,371.8,208.4,320.0,105.6,113.7
    Sustainability And The Environment,211.0,289.3,204.7,180.3,92.7,229.9,349.1,250.5,219.8,256.5,243.6,211.0,73.5,311.0,103.1,155.1,162.0,"1,128.8",175.2,191.1,189.9,127.6,156.0,99.4,134.7,177.3,106.6,102.4,100.9,117.5,60.1,118.7,76.3,70.1,85.5,127.4,70.3,69.0,118.6,37.1,105.3,88.0,161.0,89.0,88.5,67.6,113.3,53.5,85.7,70.6,74.6,78.5,95.2,76.7,77.7,162.7,67.9,72.9,189.8,143.8,87.7
"    Culture, Community And Youth",18.7,9.6,158.8,11.7,22.7,13.7,155.0,29.6,9.1,15.9,193.1,96.4,6.2,3.8,143.6,227.7,101.9,16.3,213.5,89.9,112.9,90.5,238.0,427.0,109.6,4.0,530.0,39.6,28.8,18.6,124.6,32.1,49.5,6.3,95.3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Social And Family Development,15.7,9.9,50.3,13.4,8.7,20.6,40.1,32.0,26.3,12.1,75.5,15.3,12.9,11.2,38.9,24.5,12.9,10.3,47.6,27.8,14.7,7.3,66.8,24.3,12.0,7.5,35.8,16.9,5.6,3.5,23.9,7.2,7.2,2.4,19.5,8.2,5.2,3.9,42.1,9.5,9.0,3.0,88.6,4.1,21.6,6.1,37.4,22.0,42.0,13.9,52.2,21.9,15.1,6.8,145.1,64.5,16.7,7.5,70.7,13.2,12.3
    Communications And Information,0.9,3.3,12.0,1.7,0.9,5.6,13.8,8.1,8.9,9.8,16.9,15.0,3.1,0.8,37.7,10.5,14.0,97.9,47.9,25.3,1.6,12.8,21.8,8.8,4.2,109.5,131.6,2.8,0.6,13.2,28.0,21.4,10.8,0.6,25.7,32.9,14.4,5.7,61.3,29.8,15.4,16.4,74.9,15.9,16.4,1.7,59.7,24.6,32.7,11.0,56.5,27.0,30.6,18.3,33.9,26.4,32.2,2.7,50.1,28.5,10.4
