,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: National Accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Gross Fixed Capital Formation (GFCF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Gross Fixed Capital Formation In Chained (2015) Dollars, Quarterly ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 24/11/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Million Dollars
Data Series,2021 3Q,2021 2Q,2021 1Q,2020 4Q,2020 3Q,2020 2Q,2020 1Q,2019 4Q,2019 3Q,2019 2Q,2019 1Q,2018 4Q,2018 3Q,2018 2Q,2018 1Q,2017 4Q,2017 3Q,2017 2Q,2017 1Q,2016 4Q,2016 3Q,2016 2Q,2016 1Q,2015 4Q,2015 3Q,2015 2Q,2015 1Q,2014 4Q,2014 3Q,2014 2Q,2014 1Q,2013 4Q,2013 3Q,2013 2Q,2013 1Q,2012 4Q,2012 3Q,2012 2Q,2012 1Q,2011 4Q,2011 3Q,2011 2Q,2011 1Q,2010 4Q,2010 3Q,2010 2Q,2010 1Q,2009 4Q,2009 3Q,2009 2Q,2009 1Q,2008 4Q,2008 3Q,2008 2Q,2008 1Q,2007 4Q,2007 3Q,2007 2Q,2007 1Q,2006 4Q,2006 3Q,2006 2Q,2006 1Q,2005 4Q,2005 3Q,2005 2Q,2005 1Q,2004 4Q,2004 3Q,2004 2Q,2004 1Q,2003 4Q,2003 3Q,2003 2Q,2003 1Q,2002 4Q,2002 3Q,2002 2Q,2002 1Q,2001 4Q,2001 3Q,2001 2Q,2001 1Q,2000 4Q,2000 3Q,2000 2Q,2000 1Q,1999 4Q,1999 3Q,1999 2Q,1999 1Q,1998 4Q,1998 3Q,1998 2Q,1998 1Q,1997 4Q,1997 3Q,1997 2Q,1997 1Q,1996 4Q,1996 3Q,1996 2Q,1996 1Q,1995 4Q,1995 3Q,1995 2Q,1995 1Q,1994 4Q,1994 3Q,1994 2Q,1994 1Q,1993 4Q,1993 3Q,1993 2Q,1993 1Q,1992 4Q,1992 3Q,1992 2Q,1992 1Q,1991 4Q,1991 3Q,1991 2Q,1991 1Q,1990 4Q,1990 3Q,1990 2Q,1990 1Q,1989 4Q,1989 3Q,1989 2Q,1989 1Q,1988 4Q,1988 3Q,1988 2Q,1988 1Q,1987 4Q,1987 3Q,1987 2Q,1987 1Q,1986 4Q,1986 3Q,1986 2Q,1986 1Q,1985 4Q,1985 3Q,1985 2Q,1985 1Q,1984 4Q,1984 3Q,1984 2Q,1984 1Q,1983 4Q,1983 3Q,1983 2Q,1983 1Q,1982 4Q,1982 3Q,1982 2Q,1982 1Q,1981 4Q,1981 3Q,1981 2Q,1981 1Q,1980 4Q,1980 3Q,1980 2Q,1980 1Q,1979 4Q,1979 3Q,1979 2Q,1979 1Q,1978 4Q,1978 3Q,1978 2Q,1978 1Q,1977 4Q,1977 3Q,1977 2Q,1977 1Q,1976 4Q,1976 3Q,1976 2Q,1976 1Q,1975 4Q,1975 3Q,1975 2Q,1975 1Q
Gross Fixed Capital Formation,"28,421.9","28,474.4","27,657.9","28,491.6","22,669.8","21,740.3","29,108.1","29,911.0","29,459.8","30,152.9","28,667.5","29,732.8","28,432.3","30,042.0","28,611.5","32,361.3","30,163.6","30,825.5","28,761.1","30,417.2","28,231.2","29,760.6","27,445.4","30,276.3","29,017.8","29,042.4","26,934.7","29,505.8","28,286.4","27,583.2","27,679.7","27,419.3","28,683.0","26,262.4","26,112.5","26,414.9","25,461.7","24,781.6","25,525.5","24,097.3","25,291.9","23,366.6","21,310.4","23,026.9","22,184.9","21,736.5","21,488.5","21,775.8","20,668.6","21,096.8","19,303.2","19,387.9","19,682.1","20,036.0","19,429.2","20,643.4","16,885.0","16,961.7","16,418.4","17,166.9","15,681.3","14,114.6","14,427.2","15,492.3","13,942.4","13,147.5","13,513.4","13,116.9","14,491.0","13,513.8","13,003.9","12,638.4","12,455.7","11,783.6","12,196.1","12,715.0","12,674.3","13,103.9","13,248.5","13,708.3","14,402.5","14,043.7","14,801.0","15,065.7","16,323.0","13,976.9","14,718.6","13,618.7","14,365.4","13,125.2","12,819.1","13,420.7","14,209.7","13,820.2","15,020.6","16,407.5","15,746.8","13,965.1","13,337.6","14,894.3","12,566.9","13,584.1","12,735.9","12,689.6","10,879.3","10,104.5","9,658.7","10,390.0","9,836.8","9,173.8","9,199.7","9,513.8","8,833.8","8,632.1","8,142.5","8,875.4","7,897.1","7,759.5","7,462.0","7,141.4","7,297.9","7,343.2","6,794.6","6,595.2","6,552.2","6,015.5","6,061.1","6,367.3","5,588.0","5,119.8","5,595.9","5,172.6","5,326.4","4,531.4","4,541.9","4,882.0","4,720.4","4,334.0","4,579.8","4,507.3","4,808.7","4,257.2","4,834.1","4,977.3","5,105.5","4,854.5","6,052.2","6,185.4","5,627.3","6,005.8","5,958.3","5,584.3","5,528.7","5,737.6","4,804.5","4,960.1","5,087.2","4,707.2","4,751.6","4,665.1","4,171.0","3,828.2","3,452.0","3,593.3","3,512.9","3,570.0","3,205.9","3,184.2","3,233.3","2,767.6","2,319.6","2,831.7","2,374.1","2,429.3","2,509.6","2,405.3","2,381.0","2,211.6","1,987.0","1,987.2","2,322.4","2,247.5","2,304.5","2,121.8","1,992.9","2,139.7","2,170.8"
  Construction & Works,"11,788.4","11,377.3","11,203.2","10,493.0","6,901.9","5,672.2","12,603.7","12,772.2","12,230.6","12,070.8","12,115.6","11,996.3","11,896.5","12,007.8","12,431.6","12,571.4","12,277.7","12,381.6","13,113.2","13,611.1","14,138.0","14,771.3","14,401.6","14,815.6","14,690.3","14,386.5","13,810.1","14,272.2","14,154.3","14,162.3","14,399.3","14,935.0","14,546.3","14,208.4","13,781.3","14,342.0","13,735.7","13,405.0","12,964.9","13,314.9","12,834.6","12,149.8","11,994.4","12,615.6","12,045.2","12,043.4","11,567.4","12,758.5","11,797.5","11,087.2","10,947.9","11,297.0","10,675.0","9,472.6","9,089.0","9,610.6","8,800.2","7,936.0","7,973.0","7,341.5","7,279.2","6,575.7","6,831.9","7,057.5","6,600.1","6,090.5","6,742.0","6,543.1","6,400.9","6,142.0","6,910.6","7,039.8","7,024.2","6,525.1","6,806.2","7,604.9","7,623.8","7,420.7","8,232.4","8,624.6","9,189.4","8,763.3","9,064.1","9,427.2","9,431.1","8,531.4","8,413.6","8,702.3","8,386.4","7,980.5","8,440.3","9,120.9","9,540.6","9,408.7","9,389.2","10,571.2","10,178.4","9,010.1","8,257.9","8,659.0","8,391.3","8,153.9","7,703.7","7,584.0","6,859.0","6,249.2","5,866.6","6,546.8","6,226.0","5,342.9","5,634.0","5,391.5","5,241.3","4,827.4","4,748.6","5,266.6","4,795.4","4,486.7","4,394.5","4,518.6","3,965.9","3,410.2","3,452.4","3,400.1","2,996.8","2,948.2","3,224.8","3,340.7","2,951.3","2,795.8","2,904.0","3,057.1","2,964.5","2,794.6","2,833.1","3,108.2","3,339.2","3,315.2","3,226.4","3,642.2","3,622.5","3,781.0","3,636.4","4,093.2","4,418.5","4,463.7","4,891.1","5,077.2","5,300.4","5,411.5","5,263.1","5,210.0","4,841.2","4,706.3","4,253.7","4,086.7","3,769.6","3,439.0","3,234.8","3,210.0","2,730.4","2,376.4","2,102.1","2,189.7","2,058.6","2,051.4","1,901.6","1,865.7","1,666.6","1,663.8","1,602.5","1,654.9","1,479.6","1,525.5","1,448.4","1,489.5","1,562.0","1,505.1","1,463.9","1,439.4","1,560.3","1,550.5","1,417.7","1,501.2","1,422.7","1,335.9","1,170.6"
    Residential Buildings,"4,601.7","4,685.2","4,463.6","4,356.2","2,933.6","1,875.6","4,282.5","4,684.2","4,515.7","4,317.4","4,136.6","4,323.1","4,530.9","4,554.2","4,492.3","4,944.0","5,049.0","5,054.8","5,281.9","5,640.5","6,026.6","6,278.1","6,239.2","6,759.9","7,125.4","7,049.1","6,832.1","7,164.5","7,035.4","7,272.9","6,858.0","7,673.7","7,299.4","7,203.9","6,697.8","7,124.8","6,848.5","6,445.7","5,975.8","6,045.3","5,920.5","5,894.2","5,816.1","6,239.4","6,024.1","5,762.2","5,201.1","5,240.8","4,669.6","4,300.7","4,071.3","4,462.2","4,285.5","3,935.4","3,556.6","3,673.1","3,441.9","3,384.7","3,172.0","2,940.3","2,895.9","2,731.4","2,666.8","2,787.8","2,877.7","2,735.5","2,594.1","2,944.5","2,997.4","3,061.1","3,180.4","3,410.1","3,243.1","3,068.6","3,253.4","3,791.5","3,678.8","3,614.3","3,559.6","3,781.6","3,823.0","3,700.6","3,638.3","4,026.1","4,280.5","4,185.9","4,014.7","4,525.5","4,500.6","4,302.0","4,308.3","5,016.3","5,226.0","5,160.3","4,989.8","5,715.2","5,565.5","4,890.4","4,398.7","4,553.4","4,575.2","4,396.8","3,939.1","3,857.3","3,654.9","3,047.3","2,828.4","3,098.6","2,847.1","2,655.6","2,808.9","2,761.0","2,562.3","2,298.4","2,182.0","2,384.8","2,125.8","1,858.0","1,785.4","1,824.5","1,724.6","1,525.5","1,558.6","1,588.8","1,361.8","1,282.3","1,446.4","1,479.0","1,369.9","1,379.4","1,433.0","1,661.0","1,522.2","1,444.3","1,367.4","1,489.1","1,561.2","1,633.5","1,459.8","1,670.8","1,767.2","1,943.3","1,917.4","2,188.8","2,477.9","2,671.6","2,984.8","3,056.3","3,184.4","3,440.0","3,151.0","3,096.3","2,802.8","2,699.0","2,223.9","2,062.9","1,802.0","1,538.2","1,232.6","1,194.1",974.6,907.4,743.1,801.0,682.7,829.5,701.3,650.9,609.1,754.4,698.9,711.2,708.8,786.4,722.5,860.5,942.8,929.4,834.3,809.9,881.8,836.2,806.3,798.3,810.5,742.9,675.9
    Non-Residential Buildings,"4,576.1","4,138.3","4,304.4","4,031.4","2,668.2","2,337.9","5,379.6","5,457.7","5,082.6","4,915.0","5,080.8","5,042.5","4,744.0","4,823.5","4,902.9","4,762.7","4,790.3","4,850.4","5,189.1","5,346.4","5,544.6","5,466.0","5,262.0","5,184.2","5,226.0","4,801.9","4,684.4","4,910.9","4,982.8","4,920.6","5,091.6","5,293.6","5,228.4","5,158.8","5,034.5","5,021.8","4,968.8","4,911.2","5,003.0","5,113.5","4,859.2","4,430.3","4,242.1","4,422.8","4,078.9","4,432.5","4,453.7","5,530.0","5,357.8","5,221.5","4,986.3","5,145.7","4,823.1","4,046.3","4,190.0","4,655.5","4,227.7","3,638.6","3,673.4","3,272.7","3,153.2","2,807.4","2,905.1","3,146.6","2,694.9","2,373.1","2,620.7","2,586.8","2,345.6","2,209.8","2,651.7","2,456.1","2,560.0","2,368.2","2,397.4","2,716.8","2,666.1","2,633.1","3,108.7","3,213.0","3,508.1","3,257.3","3,413.7","3,581.6","3,677.6","3,233.3","3,086.7","3,016.3","2,704.7","2,591.7","2,901.6","2,967.0","3,217.2","3,227.9","3,196.0","3,827.2","3,489.0","3,131.3","3,000.5","3,178.2","3,040.4","3,057.9","3,055.0","2,937.6","2,603.6","2,645.3","2,360.0","2,806.1","2,640.0","2,080.3","2,169.3","2,106.6","2,173.0","2,004.6","1,994.5","2,201.2","2,108.4","2,086.8","2,092.8","2,082.2","1,690.7","1,452.1","1,401.7","1,324.5","1,273.7","1,310.0","1,296.5","1,187.7","1,145.3","1,006.3","1,001.7",945.7,894.3,778.4,833.3,799.2,837.1,733.4,748.0,822.6,855.4,972.4,"1,076.7","1,289.9","1,379.6","1,329.0","1,542.1","1,655.4","1,747.5","1,729.7","1,814.2","1,824.0","1,792.3","1,696.4","1,675.4","1,684.1","1,571.9","1,507.4","1,650.6","1,596.0","1,381.4","1,112.6",991.8,"1,001.7",975.3,876.6,852.8,873.3,793.4,699.5,659.0,651.7,532.1,535.8,494.1,402.7,386.3,375.1,387.9,394.5,405.7,413.9,394.0,442.0,393.0,377.1,353.1
    Other Construction & Works,"2,621.7","2,551.5","2,441.3","2,094.9","1,288.4","1,486.5","2,995.3","2,658.2","2,656.9","2,875.8","2,952.5","2,659.9","2,638.4","2,647.9","3,067.5","2,868.1","2,440.1","2,478.5","2,645.1","2,624.3","2,566.8","3,027.3","2,900.4","2,877.1","2,337.4","2,533.9","2,290.8","2,190.5","2,132.2","1,955.2","2,458.3","1,957.6","2,010.5","1,836.6","2,043.8","2,188.2","1,913.6","2,043.1","1,983.1","2,148.8","2,049.0","1,824.6","1,931.7","1,963.4","1,953.2","1,845.1","1,880.0","1,915.4","1,698.6","1,498.4","1,802.0","1,621.2","1,502.4","1,441.5","1,286.3","1,205.4","1,066.8",876.5,"1,069.8","1,075.2","1,169.8",994.7,"1,194.2","1,066.5",995.7,956.8,"1,444.2",987.3,"1,039.2",874.4,"1,057.4","1,161.2","1,194.1","1,069.6","1,139.1","1,097.4","1,264.0","1,163.9","1,510.4","1,575.6","1,783.6","1,736.0","1,923.7","1,752.7","1,434.1","1,103.3","1,288.6","1,164.1","1,191.2","1,098.7","1,226.0","1,159.7","1,121.1","1,044.9","1,220.2","1,054.7","1,148.8","1,009.9",877.5,944.7,799.0,721.1,723.2,799.7,617.9,565.3,680.3,645.2,731.4,614.6,663.7,541.7,514.4,525.1,564.5,669.0,549.1,518.9,491.4,581.3,534.5,424.1,482.8,483.9,357.5,344.8,470.3,646.9,431.3,418.2,475.3,480.4,559.3,580.2,625.7,803.7,914.6,932.0,979.7,"1,108.5",982.4,871.0,666.0,649.3,621.4,554.6,481.9,481.6,489.5,405.6,420.7,406.0,345.3,397.2,394.3,360.2,397.2,379.9,314.2,375.2,329.6,323.1,326.0,347.7,347.4,323.8,313.0,302.0,238.2,213.8,238.7,279.1,242.0,219.9,240.1,257.0,271.5,242.9,268.7,260.2,299.1,318.3,244.7,278.9,246.6,238.1,168.8
  Transport Equipment,"1,358.0","2,070.1","2,232.5","3,760.2","2,069.5","2,848.7","3,249.0","3,405.8","3,360.1","4,340.8","3,276.1","4,024.5","2,805.7","4,079.5","2,465.6","5,334.6","3,491.4","4,091.3","2,692.5","4,882.7","2,297.2","2,433.8","1,403.7","3,102.5","1,866.0","2,167.3","1,758.9","2,092.5","1,914.9","1,402.9","1,930.5","1,614.5","2,525.0","1,599.0","2,186.6","2,180.0","2,040.9","1,875.8","3,385.1","1,592.0","2,990.8","2,372.2","1,159.1","1,971.8","1,621.0","1,263.4","2,030.5",983.3,"1,263.5","3,333.3","2,085.1","1,225.5","1,362.8","2,882.8","3,442.7","2,981.8",783.6,"2,089.9","1,870.8","2,195.7","1,233.8",735.1,"1,625.5","1,537.4","1,213.3","1,260.5","1,546.8",784.1,"1,854.8",825.4,874.2,742.9,"1,125.7","1,070.5","1,486.3","1,280.4","1,122.5","1,334.6","1,060.9","1,344.7","1,419.9","1,171.4","1,441.1",825.6,"2,023.5",789.7,"1,586.3","1,079.2","2,437.0","1,528.7","1,383.7","1,251.8","1,785.7","1,449.5","2,757.3","2,388.9","2,358.3","1,927.9","2,225.4","3,255.3","1,534.7","2,359.9","2,158.4","2,276.3","1,609.6","1,315.4","1,590.8","1,181.2","1,270.5","1,329.4","1,466.7","1,613.8","1,231.9","1,597.4","1,651.6","1,392.8","1,137.1","1,391.0","1,409.8",643.1,"1,253.0","1,634.6","1,267.8",768.1,"1,361.7",997.1,976.6,"1,097.6",770.2,521.3,"1,259.6",490.0,936.3,436.3,589.6,804.5,571.0,283.2,813.0,280.8,756.2,230.4,896.9,502.5,531.3,274.6,"1,072.4",929.9,378.1,704.8,794.0,530.8,773.3,"1,087.9",590.1,652.6,"1,041.6",820.7,"1,111.4",818.8,837.0,885.3,725.8,750.7,866.3,"1,080.1",852.2,884.4,"1,136.8",712.9,394.2,780.3,437.1,620.9,757.4,644.8,664.3,520.9,413.1,276.9,514.5,475.0,631.0,360.2,279.9,296.6,454.0
  Machinery & Equipment,"7,334.1","7,033.3","6,495.9","6,668.7","5,874.5","5,435.4","5,820.6","6,156.4","6,052.7","5,924.8","5,544.9","6,153.1","6,084.8","6,146.6","5,994.8","6,277.7","5,462.3","5,767.6","5,130.7","5,541.0","5,545.4","6,395.8","5,390.1","5,585.0","5,428.5","5,486.6","5,055.7","5,826.6","5,393.3","5,444.7","4,947.0","5,690.0","5,777.4","5,377.3","5,084.0","5,945.4","5,470.3","5,377.1","5,281.6","5,438.5","5,639.1","5,215.3","4,635.5","5,114.4","5,054.9","5,035.4","4,706.9","4,736.2","4,277.2","3,620.5","3,312.2","4,077.1","4,571.9","4,682.6","3,937.6","4,931.7","4,322.4","4,022.0","3,729.2","4,391.7","4,023.7","3,863.9","3,316.3","4,095.6","3,559.5","3,317.9","2,949.9","3,423.3","3,599.7","3,892.1","3,147.7","2,994.6","2,633.0","2,550.2","2,422.6","2,479.6","2,582.0","2,793.2","2,728.1","2,674.8","2,794.4","2,936.8","3,207.0","3,620.1","3,612.5","3,369.3","3,446.3","2,884.2","2,683.6","2,679.3","2,343.7","2,443.5","2,405.2","2,443.6","2,533.1","2,990.0","2,799.3","2,548.9","2,397.9","2,617.6","2,278.3","2,580.8","2,413.0","2,395.9","2,055.1","2,049.9","1,825.1","2,170.1","1,946.4","1,939.0","1,757.6","1,971.0","1,843.1","1,716.1","1,450.3","1,777.9","1,570.8","1,490.7","1,359.8","1,560.1","1,544.8","1,605.6","1,497.9","1,678.3","1,497.1","1,426.7","1,361.3","1,443.8","1,356.3","1,305.6","1,137.9","1,254.6","1,137.7","1,047.9",968.8,958.7,912.4,870.5,768.2,859.5,785.1,704.0,712.6,824.4,752.6,742.5,789.4,884.1,794.7,785.5,772.5,719.1,718.9,734.4,640.7,743.2,764.5,789.3,768.0,871.3,782.3,712.8,690.0,726.2,675.2,605.6,578.8,565.1,541.5,501.0,442.2,506.8,488.7,420.9,427.1,413.3,369.5,366.7,315.9,383.0,407.7,390.7,398.3,407.4,409.8,491.2,470.1
  Intellectual Property Products,"7,934.2","7,938.4","7,666.2","7,457.1","7,621.0","7,531.7","7,384.7","7,519.5","7,732.0","7,730.3","7,641.2","7,472.7","7,570.6","7,707.2","7,663.5","8,066.8","8,796.1","8,461.2","7,747.3","6,382.4","6,250.6","6,159.7","6,249.9","6,789.3","7,025.0","7,003.7","6,300.3","7,308.4","6,819.8","6,558.3","6,405.6","5,167.7","5,814.0","5,072.1","5,064.0","3,861.3","4,166.5","4,072.0","3,840.8","3,690.9","3,697.7","3,532.6","3,520.7","3,243.5","3,397.6","3,321.6","3,125.5","3,202.5","3,318.3","3,277.0","3,124.5","2,869.4","3,009.5","2,836.4","2,985.9","2,853.0","2,901.7","2,761.5","2,822.7","2,819.2","2,950.7","2,700.6","2,613.4","2,444.7","2,397.2","2,298.8","2,381.3","2,282.0","2,322.6","2,232.2","2,192.7","2,089.0","2,041.8","1,925.3","1,849.7","1,913.1","1,867.1","1,890.4","1,821.3","1,762.9","1,758.8","1,763.8","1,569.9","1,515.3","1,590.2","1,578.8","1,475.0","1,464.8","1,457.8","1,432.1","1,358.4","1,321.8","1,349.7","1,291.2","1,196.1","1,218.3","1,206.5","1,153.6","1,129.6","1,084.9","1,026.3","1,010.3",964.1,896.6,819.9,810.1,775.1,776.8,763.0,733.1,686.3,679.0,722.1,701.5,657.3,682.8,669.6,659.7,627.4,595.1,634.5,618.0,546.5,533.6,539.9,513.9,501.3,404.9,368.9,341.9,317.7,360.1,361.7,341.7,315.5,258.4,247.8,227.5,203.4,191.3,166.5,163.2,186.4,197.1,201.1,197.1,192.7,163.8,144.7,132.2,116.7,96.3,89.2,93.2,95.4,96.7,106.4,104.4,95.2,74.2,74.8,73.2,71.8,72.6,69.2,67.6,64.9,63.7,64.0,62.2,57.4,58.5,56.7,52.8,47.5,43.5,38.2,34.5,30.2,27.1,25.7,23.3,21.0,17.1,13.3,9.8,6.4
Gross Fixed Capital Formation (Public Sector),"5,041.8","5,282.5","5,530.4","4,544.9","3,260.3","3,220.5","6,804.4","5,923.1","5,686.9","5,414.2","6,511.5","5,562.3","5,687.2","5,280.9","6,664.2","6,063.9","5,613.7","5,479.6","7,081.6","5,733.6","6,151.8","6,379.8","6,165.5","5,977.2","5,171.3","5,294.6","5,273.4","4,843.1","4,789.9","4,531.6","5,443.2","4,580.8","4,422.0","3,960.0","4,687.7","4,525.5","4,350.9","4,081.9","4,577.3","4,167.7","3,968.3","3,717.5","4,465.1","3,920.6","3,788.5","3,519.2","3,841.5","3,561.2","3,244.6","2,986.2","3,231.5","2,791.5","2,719.8","2,346.2","2,605.0","2,251.9","2,106.2","1,896.4","2,718.3","2,198.8","2,189.0","1,891.1","2,928.8","2,486.2","2,363.5","2,242.8","3,407.8","2,687.9","2,807.0","2,434.2","3,233.7","3,180.2","3,224.4","2,733.0","3,286.9","3,090.9","3,094.4","2,768.1","3,643.4","3,416.2","3,515.2","3,568.1","3,914.8","3,657.0","3,373.5","3,020.7","3,494.9","3,301.9","3,257.1","3,051.5","3,800.2","3,437.2","3,224.5","3,063.6","3,079.8","3,103.1","3,238.8","2,806.9","2,644.7","2,618.2","2,469.2","2,123.9","2,412.8","2,255.3","2,458.0","2,193.3","2,005.9","2,419.8","2,313.6","1,961.9","2,015.7","2,075.8","1,826.1","1,687.4","1,568.6","1,888.3","1,472.8","1,496.9","1,778.0","1,985.1","1,705.2","1,255.2","1,516.3","1,683.7","1,184.1","1,140.6","1,178.1","1,399.9","1,082.2","1,024.1","1,120.0","1,325.9","1,237.0","1,214.0","1,517.6","1,683.6","1,774.9","1,831.3","2,006.0","2,131.9","2,114.1","2,079.5","1,908.9","1,997.6","2,075.3","1,904.0","1,890.9","2,055.1","2,080.7","2,050.5","2,099.8","2,100.9","1,878.7","1,909.1","1,733.1","1,692.2","1,612.6","1,420.3","1,226.5","1,245.1","1,040.6",962.5,993.4,979.1,953.1,870.8,956.3,852.3,739.3,707.6,807.6,"1,013.1",874.2,811.7,953.1,853.5,922.8,923.9,901.6,801.8,885.2,908.2,752.8,788.2,693.2,654.4,542.3
