,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: National Accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Topic: Output, Saving and Investment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Output, Saving & Investment At Current Prices, Annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 15/02/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Million Dollars
Data Series,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960
Gross National Income,"411,756.6","449,710.5","448,368.1","438,005.1","412,513.4","394,551.3","385,070","364,140.4","352,372.1","339,294.4","323,447.2","267,746.8","263,864.7","265,524.2","229,753.7","200,687.2","182,672.2","165,596.4","162,400.7","159,809.8","164,619.9","147,909.1","145,591.3","151,577.2","134,801.8","125,363.4","112,701.6","95,855.6","84,970.9","77,356.3","69,783.6","60,935.7","52,704","44,357","40,906","41,200.7","41,465.7","36,999.8","32,268.9","28,606.1","24,542.7","21,062.3","18,294.4","16,165.9","14,922.1","13,852.2","12,480.8","10,171.7","8,281.7","6,919.9","5,935.5","5,166","4,451.6","3,887.7","3,462.6","3,079.7","2,823.8","2,876.5","2,578.4","2,385.3","2,196.8"
  Net Income From Abroad,"-57,339.3","-61,027.3","-58,755.8","-36,110","-27,858.8","-28,892.8","-13,877.9","-20,729.9","-16,398.4","-12,073.5","-3,532.9","-14,647.7","-10,076.9","-7,173.4","-6,405.1","-12,035.8","-11,760.8","-4,521.5","-3,297.4","-1,075.8","-1,012.5","1,656.6","2,116.4","2,912.8",-975.4,900.1,146.2,"-2,067.5",50.7,"-1,186.5",-708.7,-372.8,-728.3,"-1,192.5",13.3,337.9,-264.7,"-1,058.2","-1,712.3","-1,745.9","-1,326.9",-78.9,-43,-187.3,-81.3,123.5,-350.6,-223.9,-20.6,-10,56.2,84.7,87.2,97.8,106.2,96.1,86.6,67.5,49.1,44.6,39.4
  Gross Domestic Product,"469,095.9","510,737.8","507,123.9","474,115.1","440,372.2","423,444.1","398,947.9","384,870.3","368,770.5","351,367.9","326,980.1","282,394.5","273,941.6","272,697.6","236,158.8","212,723","194,433","170,117.9","165,698.1","160,885.6","165,632.4","146,252.5","143,474.9","148,664.4","135,777.2","124,463.3","112,555.4","97,923.1","84,920.2","78,542.8","70,492.3","61,308.5","53,432.3","45,549.5","40,892.7","40,862.8","41,730.4","38,058","33,981.2","30,352","25,869.6","21,141.2","18,337.4","16,353.2","15,003.4","13,728.7","12,831.4","10,395.6","8,302.3","6,929.9","5,879.3","5,081.3","4,364.4","3,789.9","3,356.4","2,983.6","2,737.2","2,809","2,529.3","2,340.7","2,157.4"
Gross National Saving,"188,595","198,786.8","204,859","211,416.7","193,974.4","186,511.2","189,022.4","175,834.5","172,976.3","171,855.6","165,424.4","123,584.8","123,939.7","136,919.5","116,361.7","95,230.6","82,057.7","70,644.2","66,197.5","67,640.1","76,597.6","72,973.2","76,445.7","79,891.7","67,437.1","62,702.2","54,249.4","43,065.8","39,695.5","35,108.4","30,828.4","26,690.5","21,768.8","16,417.4","15,682.5","16,839","18,724.1","16,298.7","12,838.6","10,334.9","8,195","7,553.3","6,128.1","5,227.8","4,697.4","4,078.5","3,336.6","2,869.8","2,085.4","1,359.3","1,191.4","1,025.3",909.7,648.7,571.3,367.1,270.7,124.2,162,-44.4,-46
  Gross Domestic Saving,"255,833.3","270,312.4","272,666.9","254,905","231,839.6","222,947.7","210,922.8","204,340.4","197,252.4","190,612.8","176,473.1","143,646.1","139,218.5","148,173.7","125,379.3","109,330.6","95,801.3","76,856.5","72,078.4","70,959.7","78,694.1","72,682.6","76,021.5","78,642.2","69,810.1","63,058","55,244.7","46,109","40,469","37,059.9","32,219.2","27,637.5","22,959.5","17,986.4","16,027.3","16,916.8","19,501.6","17,900.5","15,100.6","12,556.7","9,857.3","7,708.3","6,259.5","5,523.4","4,899.8","4,047.3","3,782.3","3,103.8","2,099.6","1,366.5","1,127.1",957.4,836,552.7,487,317.5,244.9,77.7,128.1,-70.9,-50.1
    Gross Domestic Product,"469,095.9","510,737.8","507,123.9","474,115.1","440,372.2","423,444.1","398,947.9","384,870.3","368,770.5","351,367.9","326,980.1","282,394.5","273,941.6","272,697.6","236,158.8","212,723","194,433","170,117.9","165,698.1","160,885.6","165,632.4","146,252.5","143,474.9","148,664.4","135,777.2","124,463.3","112,555.4","97,923.1","84,920.2","78,542.8","70,492.3","61,308.5","53,432.3","45,549.5","40,892.7","40,862.8","41,730.4","38,058","33,981.2","30,352","25,869.6","21,141.2","18,337.4","16,353.2","15,003.4","13,728.7","12,831.4","10,395.6","8,302.3","6,929.9","5,879.3","5,081.3","4,364.4","3,789.9","3,356.4","2,983.6","2,737.2","2,809","2,529.3","2,340.7","2,157.4"
    Private & Government Consumption Expenditure,"213,087","234,653","225,843.7","215,128.9","205,966","200,496.4","188,365","181,188","170,239","161,110.8","150,507.1","138,466.2","137,146.5","125,173.9","113,387","105,819.1","101,721.7","96,881.2","96,142.7","93,080.2","86,724.1","75,007.7","70,225.3","72,161.7","67,040.7","61,136.3","57,559.7","51,542.1","44,290.3","41,227.4","38,132.7","34,062.9","30,092.4","26,711.7","24,230.1","23,760.2","22,596.3","20,715","19,187.6","17,395.3","15,560","13,488.5","12,248.1","11,117.9","10,292.9","9,686.4","9,069.7","7,524.1","6,106.1","5,429","4,643.4","4,024.2","3,648.5","3,254.2","2,923","2,661.6","2,531.7","2,613.9","2,442.3","2,325.3","2,091.7"
    Statistical Discrepancy,-175.5,"-5,772.4","-8,613.3","-4,081.3","-2,566.5",0,339.9,658.1,"-1,279.1",355.7,0,-282.2,"2,423.4",650,"2,607.5","2,426.7","3,090.1","3,619.8","2,523","3,154.3",-214.2,"1,437.9","2,771.9","2,139.5","1,073.6",-269,249,-272,-161,-255.5,-140.4,392,-380.4,-851.5,-635.3,-185.8,367.4,557.5,307,-400,-452.3,55.6,170.2,288.2,189.3,5,20.6,232.3,-96.6,-134.4,-108.8,-99.7,120.1,17,53.6,-4.5,39.4,-117.4,41.1,-86.3,-115.8
  Net Income From Abroad,"-57,339.3","-61,027.3","-58,755.8","-36,110","-27,858.8","-28,892.8","-13,877.9","-20,729.9","-16,398.4","-12,073.5","-3,532.9","-14,647.7","-10,076.9","-7,173.4","-6,405.1","-12,035.8","-11,760.8","-4,521.5","-3,297.4","-1,075.8","-1,012.5","1,656.6","2,116.4","2,912.8",-975.4,900.1,146.2,"-2,067.5",50.7,"-1,186.5",-708.7,-372.8,-728.3,"-1,192.5",13.3,337.9,-264.7,"-1,058.2","-1,712.3","-1,745.9","-1,326.9",-78.9,-43,-187.3,-81.3,123.5,-350.6,-223.9,-20.6,-10,56.2,84.7,87.2,97.8,106.2,96.1,86.6,67.5,49.1,44.6,39.4
