,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: National Accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Other Taxes Less Subsidies on Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Other Taxes Less Subsidies On Production By Industry At Current Prices, Quarterly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 24/11/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Million Dollars
Data Series,2021 3Q,2021 2Q,2021 1Q,2020 4Q,2020 3Q,2020 2Q,2020 1Q,2019 4Q,2019 3Q,2019 2Q,2019 1Q,2018 4Q,2018 3Q,2018 2Q,2018 1Q,2017 4Q,2017 3Q,2017 2Q,2017 1Q,2016 4Q,2016 3Q,2016 2Q,2016 1Q,2015 4Q,2015 3Q,2015 2Q,2015 1Q,2014 4Q,2014 3Q,2014 2Q,2014 1Q,2013 4Q,2013 3Q,2013 2Q,2013 1Q,2012 4Q,2012 3Q,2012 2Q,2012 1Q,2011 4Q,2011 3Q,2011 2Q,2011 1Q,2010 4Q,2010 3Q,2010 2Q,2010 1Q,2009 4Q,2009 3Q,2009 2Q,2009 1Q,2008 4Q,2008 3Q,2008 2Q,2008 1Q,2007 4Q,2007 3Q,2007 2Q,2007 1Q,2006 4Q,2006 3Q,2006 2Q,2006 1Q,2005 4Q,2005 3Q,2005 2Q,2005 1Q,2004 4Q,2004 3Q,2004 2Q,2004 1Q,2003 4Q,2003 3Q,2003 2Q,2003 1Q,2002 4Q,2002 3Q,2002 2Q,2002 1Q,2001 4Q,2001 3Q,2001 2Q,2001 1Q,2000 4Q,2000 3Q,2000 2Q,2000 1Q,1999 4Q,1999 3Q,1999 2Q,1999 1Q,1998 4Q,1998 3Q,1998 2Q,1998 1Q,1997 4Q,1997 3Q,1997 2Q,1997 1Q,1996 4Q,1996 3Q,1996 2Q,1996 1Q,1995 4Q,1995 3Q,1995 2Q,1995 1Q,1994 4Q,1994 3Q,1994 2Q,1994 1Q,1993 4Q,1993 3Q,1993 2Q,1993 1Q,1992 4Q,1992 3Q,1992 2Q,1992 1Q,1991 4Q,1991 3Q,1991 2Q,1991 1Q,1990 4Q,1990 3Q,1990 2Q,1990 1Q,1989 4Q,1989 3Q,1989 2Q,1989 1Q,1988 4Q,1988 3Q,1988 2Q,1988 1Q,1987 4Q,1987 3Q,1987 2Q,1987 1Q,1986 4Q,1986 3Q,1986 2Q,1986 1Q,1985 4Q,1985 3Q,1985 2Q,1985 1Q,1984 4Q,1984 3Q,1984 2Q,1984 1Q,1983 4Q,1983 3Q,1983 2Q,1983 1Q,1982 4Q,1982 3Q,1982 2Q,1982 1Q,1981 4Q,1981 3Q,1981 2Q,1981 1Q,1980 4Q,1980 3Q,1980 2Q,1980 1Q
Total,"-1,096.3","-1,243.7",-631.8,"-5,034.1","-5,789.6","-12,216.3","2,143.9","2,286.1","2,267.2","2,217.8","3,001.6","2,205.1","2,172.5","2,123.9","2,781.7","2,103.8","1,988.9","2,031.1","2,672.4","1,985.4","1,879.1","1,847.5","2,453.5","1,730.0","1,551.4","1,531.7","2,218.0","1,939.8","1,862.1","1,730.0","2,265.6","1,927.4","1,761.3","1,669.6","2,156.8","1,806.2","1,633.7","1,598.8","2,024.0","1,766.7","1,568.3","1,468.0","1,811.6","1,349.9","1,061.1",928.5,"1,117.7",89.5,-20.2,-37.6,683.5,"1,376.1","1,171.9","1,106.3","1,539.2","1,122.5","1,039.1",984.8,"1,323.7",911.3,872.1,818.3,"1,216.0",798.4,770.7,717.4,"1,096.0",725.6,775.8,736.3,"1,092.3",612.7,605.1,574.0,880.3,589.0,751.4,572.7,836.7,538.0,765.9,975.5,"1,083.8",690.9,899.8,693.8,996.4,746.7,923.4,719.2,951.1,"1,148.8","1,141.9","1,223.3","1,472.9","1,427.8","1,468.0","1,244.1","1,523.7","1,328.3","1,373.3","1,097.8","1,343.2","1,057.9","1,097.4","1,026.7","1,221.4","1,098.1","1,049.7","1,029.7","1,107.0","1,039.1",953.1,847.6,959.7,869.9,809.2,690.4,882.6,790.5,699.2,629.6,724.8,715.7,592.3,517.7,660.9,554.9,504.0,431.2,472.2,381.6,370.0,328.3,373.6,311.8,301.5,274.6,332.3,283.7,314.6,256.0,392.2,350.1,420.1,446.5,554.2,482.8,501.3,432.8,524.1,426.4,438.6,355.1,390.9,335.9,331.1,304.0,324.6,290.2,298.2,232.3,263.5,221.8,234.2,189.9,215.3
  Manufacturing,-65.9,-146.2,-88.8,-661.9,-797.6,"-1,875.6",299.7,298.6,298.8,293.4,368.2,257.1,252.7,245.6,307.5,256.4,243.0,244.0,307.9,235.8,227.4,227.7,292.1,221.3,206.0,202.2,268.6,271.3,260.5,239.6,298.8,258.0,239.0,222.1,267.7,235.7,215.9,204.1,246.2,225.5,204.1,186.6,222.9,174.4,145.6,112.0,115.5,-37.6,-42.4,-44.8,6.1,182.9,165.8,156.7,187.2,158.2,148.1,139.5,161.1,117.6,116.7,111.8,140.3,100.6,96.0,86.9,115.0,91.7,90.9,80.7,105.4,60.9,59.6,56.4,79.7,59.4,68.0,58.5,73.4,54.4,72.4,76.9,102.2,71.1,82.5,68.2,87.2,60.3,77.6,60.2,86.5,122.3,120.1,136.8,170.2,175.0,181.8,168.4,202.3,178.8,191.1,168.0,194.2,168.2,171.9,162.3,169.4,157.3,155.1,175.1,156.1,144.7,138.8,132.6,142.3,146.8,144.4,133.7,150.4,141.8,132.7,124.4,131.8,131.2,110.5,99.7,102.5,125.4,110.2,94.4,92.2,81.0,74.9,60.5,59.8,40.0,32.8,23.8,29.6,33.6,33.7,26.9,38.5,54.8,60.9,64.5,82.0,78.1,79.0,68.3,83.6,70.4,69.9,57.1,63.4,42.9,42.5,38.0,42.6,36.6,39.0,28.9,34.0,27.8,29.1,24.1,27.5
  Construction,16.6,62.0,-8.5,-480.3,-974.3,"-1,027.1",492.2,511.1,503.1,492.9,496.0,486.2,494.3,496.2,512.4,516.9,525.2,529.3,565.9,562.2,560.2,529.2,535.6,515.5,505.3,494.7,511.4,518.7,493.6,423.7,430.8,422.9,394.6,350.0,332.6,301.7,277.3,243.7,228.8,195.9,175.4,143.5,147.2,153.6,140.6,112.7,105.2,75.1,72.0,70.3,76.4,119.4,111.4,103.8,102.3,94.8,87.6,81.1,75.2,58.4,56.3,54.1,56.2,45.3,42.7,33.2,38.9,31.4,32.0,27.0,34.5,25.9,26.3,25.6,31.7,30.2,33.8,34.0,42.7,43.7,52.1,58.9,75.6,78.2,90.6,97.8,122.7,118.3,191.1,179.3,237.5,263.9,277.3,283.8,290.8,277.0,262.7,248.0,262.8,216.1,225.5,205.7,208.4,175.1,165.4,150.9,151.6,133.6,132.3,158.0,130.5,132.4,122.1,113.4,113.8,100.2,90.5,78.7,94.2,86.8,76.4,71.4,70.5,59.8,48.8,46.3,50.3,44.1,34.6,25.0,25.8,24.3,23.1,20.7,25.5,24.5,24.0,21.3,27.1,28.8,31.1,32.4,50.9,32.0,67.9,57.4,70.3,67.6,68.7,65.2,75.2,61.9,56.9,48.0,47.4,26.4,28.5,27.2,8.9,10.3,12.0,8.4,12.0,8.0,9.6,6.5,9.3
  Utilities,32.0,31.1,76.7,-1.0,17.7,-14.8,71.8,52.1,52.1,50.8,85.8,46.8,45.5,43.8,68.2,48.5,43.9,45.4,69.1,49.1,44.8,46.8,73.0,51.3,43.4,42.3,71.9,43.4,41.7,40.8,62.7,49.6,44.1,44.0,67.4,41.2,36.2,38.3,58.5,58.3,50.0,48.9,68.9,41.4,28.3,32.0,55.5,22.4,17.7,17.5,41.3,46.5,38.3,36.1,50.4,45.0,41.3,38.4,54.6,35.7,34.8,32.5,51.0,33.6,29.0,28.5,42.5,28.8,30.7,31.0,46.1,20.7,22.3,21.4,29.7,16.1,32.2,16.0,38.5,9.6,28.4,22.3,47.6,17.6,36.3,19.3,37.5,18.8,19.2,18.0,19.2,20.0,19.5,24.3,25.6,41.8,42.8,35.7,38.1,23.7,23.9,16.9,18.8,17.4,17.6,16.5,17.5,17.8,17.6,21.5,22.2,17.7,17.3,14.7,15.1,16.4,16.3,13.6,14.4,18.8,18.4,14.8,15.5,17.3,16.7,14.2,15.1,16.1,15.9,13.0,13.6,16.4,16.6,11.3,11.7,13.6,13.6,11.8,12.3,10.9,11.1,9.4,10.3,10.7,10.7,9.9,10.1,10.6,10.7,9.1,9.2,9.5,9.7,7.6,7.8,8.2,8.1,6.9,7.3,8.1,8.1,6.2,6.3,7.3,7.4,5.9,6.0
  Other Goods Industries,0.4,0.3,0.4,-1.3,-2.0,-9.0,2.6,2.6,2.7,2.8,2.8,2.8,2.8,2.8,2.9,3.0,3.0,3.0,3.0,2.9,2.8,2.6,2.6,2.6,2.5,2.5,2.5,3.0,2.9,2.7,2.7,2.9,2.9,2.8,2.7,2.5,2.4,2.3,2.2,2.4,2.2,2.0,1.9,2.6,2.4,2.1,2.0,1.5,1.3,1.4,1.8,2.1,1.6,2.0,1.8,1.7,1.5,1.5,1.5,1.3,1.3,1.3,1.4,1.2,1.2,1.2,1.4,1.1,1.1,1.1,1.1,1.1,1.0,0.9,1.0,0.9,0.9,0.9,0.9,0.8,0.9,0.9,0.7,1.4,1.4,1.4,0.8,0.9,3.0,0.6,1.7,1.2,1.1,1.9,1.9,1.5,1.6,1.7,2.6,1.9,1.9,1.6,2.4,1.9,2.0,2.0,2.7,2.1,2.0,1.8,2.8,2.4,2.4,2.1,3.1,2.2,2.1,1.9,3.2,2.6,2.3,2.1,3.1,2.7,2.3,2.0,3.3,2.2,2.0,1.9,2.9,2.2,2.1,1.7,3.0,2.8,2.8,2.5,4.9,2.8,3.0,2.5,6.5,2.8,3.1,3.0,9.7,3.0,4.5,2.9,10.1,4.0,4.0,4.3,4.4,2.7,2.6,2.8,3.0,2.2,2.3,2.1,2.8,1.3,1.5,1.2,3.3
  Wholesale & Retail Trade,-363.7,-324.8,-328.7,-808.1,-931.9,"-1,950.2",95.4,138.7,139.1,138.9,185.9,132.0,131.4,127.2,161.4,102.6,97.4,100.1,132.1,69.8,63.7,57.8,88.9,19.3,9.5,6.1,37.7,69.8,65.1,57.1,87.5,87.5,78.9,70.4,94.5,114.4,106.0,99.7,121.4,125.8,112.7,101.9,121.8,104.4,83.6,43.3,25.0,-97.3,-102.3,-105.7,-68.2,96.9,80.9,81.2,103.3,80.4,75.8,70.2,87.5,68.2,64.4,59.4,84.7,58.4,59.5,52.2,76.0,51.4,57.6,49.6,74.4,36.9,35.3,31.7,53.0,39.8,45.0,37.7,50.8,35.9,46.4,46.7,73.8,44.4,52.1,40.6,61.8,38.6,50.4,24.2,47.9,50.9,43.8,46.5,73.1,56.5,64.8,45.7,73.1,70.3,72.1,40.9,63.7,51.2,58.4,51.3,83.0,67.4,60.4,54.7,79.0,62.1,49.0,39.7,51.6,55.4,48.5,35.8,65.7,77.6,41.8,40.3,55.5,66.1,36.7,34.9,65.1,41.4,32.8,25.7,31.2,29.2,25.3,22.3,32.5,27.0,21.7,15.1,19.5,25.3,25.6,18.2,29.1,28.2,30.1,36.3,59.5,41.8,41.1,33.8,47.6,39.6,41.5,36.1,41.2,25.6,24.5,22.6,28.4,21.4,24.2,17.7,22.4,16.6,18.3,14.2,17.9
    Wholesale Trade,-183.4,-204.0,-216.6,-580.2,-670.5,"-1,438.5",81.1,89.8,90.3,90.4,120.0,89.1,89.4,86.8,109.9,65.1,62.4,63.8,85.3,41.0,36.9,33.9,55.3,12.5,5.7,2.9,23.9,47.6,44.0,37.8,58.2,62.7,56.2,50.4,67.0,80.9,75.4,71.0,85.5,90.9,82.1,75.5,88.1,76.5,62.8,31.0,14.1,-52.7,-51.1,-82.6,-57.8,70.9,60.9,60.1,75.4,58.9,56.2,51.9,63.8,49.8,47.9,43.9,61.7,42.8,44.4,38.6,55.4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Retail Trade,-180.3,-120.8,-112.1,-227.9,-261.4,-511.7,14.3,48.9,48.8,48.5,65.9,42.9,42.0,40.4,51.5,37.5,35.0,36.3,46.8,28.8,26.8,23.9,33.6,6.8,3.8,3.2,13.8,22.2,21.1,19.3,29.3,24.8,22.7,20.0,27.5,33.5,30.6,28.7,35.9,34.9,30.6,26.4,33.7,27.9,20.8,12.3,10.9,-44.6,-51.2,-23.1,-10.4,26.0,20.0,21.1,27.9,21.5,19.6,18.3,23.7,18.4,16.5,15.5,23.0,15.6,15.1,13.6,20.6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Transportation & Storage,-207.7,-235.7,-143.2,-405.8,-472.4,-997.4,125.5,166.9,162.6,166.0,229.4,169.6,162.0,162.3,209.2,168.2,153.0,159.2,219.1,135.8,133.6,122.8,166.7,82.1,84.1,85.9,152.5,133.1,131.8,128.6,174.2,148.6,138.4,136.3,183.8,172.4,159.0,161.0,209.3,194.5,174.4,169.3,209.8,145.4,120.5,108.2,129.8,34.9,27.8,26.3,66.4,134.1,124.7,126.9,150.9,128.8,124.2,122.4,140.0,126.9,124.7,123.5,149.6,100.0,100.1,83.2,128.8,88.0,106.6,86.4,145.4,75.9,83.8,71.9,99.4,65.1,96.1,64.0,136.6,66.0,109.1,78.0,151.3,77.2,110.1,60.8,114.9,71.9,91.2,52.1,93.9,140.8,117.1,111.0,212.8,153.9,190.6,155.6,242.4,188.2,203.0,117.2,227.1,136.2,158.8,128.7,207.1,187.9,182.3,112.7,192.7,173.2,153.7,117.3,171.6,144.5,127.1,77.1,168.5,129.6,91.9,85.8,148.1,127.8,86.5,79.7,137.8,91.7,90.5,68.9,100.2,63.3,63.3,55.2,83.1,53.2,52.6,39.1,67.7,36.8,46.6,29.7,88.7,41.6,48.4,35.2,69.7,53.5,58.0,37.2,68.1,46.0,49.1,36.9,51.0,44.2,43.2,32.6,46.4,36.7,40.2,24.6,34.0,29.6,33.4,20.0,27.2
