year,sex,occupation,employment_status,employed
2001,males,managers & administrators (including working proprietors),employers,55700
2001,males,managers & administrators (including working proprietors),employees,92000
2001,males,managers & administrators (including working proprietors),own account workers,26800
2001,males,managers & administrators (including working proprietors),contributing family workers,100
2001,males,professionals,employers,4600
2001,males,professionals,employees,120100
2001,males,professionals,own account workers,6600
2001,males,professionals,contributing family workers,100
2001,males,associate professionals & technicians,employers,600
2001,males,associate professionals & technicians,employees,120100
2001,males,associate professionals & technicians,own account workers,11900
2001,males,associate professionals & technicians,contributing family workers,-
2001,males,clerical support workers,employers,100
2001,males,clerical support workers,employees,50200
2001,males,clerical support workers,own account workers,600
2001,males,clerical support workers,contributing family workers,100
2001,males,service & sales workers,employers,4100
2001,males,service & sales workers,employees,79800
2001,males,service & sales workers,own account workers,17900
2001,males,service & sales workers,contributing family workers,1700
2001,males,craftsmen & related trades workers,employers,2000
2001,males,craftsmen & related trades workers,employees,82900
2001,males,craftsmen & related trades workers,own account workers,9300
2001,males,craftsmen & related trades workers,contributing family workers,200
2001,males,plant & machine operators & assemblers,employers,800
2001,males,plant & machine operators & assemblers,employees,93100
2001,males,plant & machine operators & assemblers,own account workers,35200
2001,males,plant & machine operators & assemblers,contributing family workers,200
2001,males,"cleaners, labourers & related workers",employers,100
2001,males,"cleaners, labourers & related workers",employees,55100
2001,males,"cleaners, labourers & related workers",own account workers,2500
2001,males,"cleaners, labourers & related workers",contributing family workers,900
2001,males,others,employers,100
2001,males,others,employees,62800
2001,males,others,own account workers,300
2001,males,others,contributing family workers,-
2001,females,managers & administrators (including working proprietors),employers,10200
2001,females,managers & administrators (including working proprietors),employees,43100
2001,females,managers & administrators (including working proprietors),own account workers,5100
2001,females,managers & administrators (including working proprietors),contributing family workers,300
2001,females,professionals,employers,1100
2001,females,professionals,employees,97800
2001,females,professionals,own account workers,2700
2001,females,professionals,contributing family workers,100
2001,females,associate professionals & technicians,employers,100
2001,females,associate professionals & technicians,employees,94100
2001,females,associate professionals & technicians,own account workers,11300
2001,females,associate professionals & technicians,contributing family workers,300
2001,females,clerical support workers,employers,0
2001,females,clerical support workers,employees,168800
2001,females,clerical support workers,own account workers,500
2001,females,clerical support workers,contributing family workers,1700
2001,females,service & sales workers,employers,2100
2001,females,service & sales workers,employees,77200
2001,females,service & sales workers,own account workers,12000
2001,females,service & sales workers,contributing family workers,5900
2001,females,craftsmen & related trades workers,employers,200
2001,females,craftsmen & related trades workers,employees,6800
2001,females,craftsmen & related trades workers,own account workers,900
2001,females,craftsmen & related trades workers,contributing family workers,200
2001,females,plant & machine operators & assemblers,employers,0
2001,females,plant & machine operators & assemblers,employees,43500
2001,females,plant & machine operators & assemblers,own account workers,500
2001,females,plant & machine operators & assemblers,contributing family workers,300
2001,females,"cleaners, labourers & related workers",employers,-
2001,females,"cleaners, labourers & related workers",employees,50600
2001,females,"cleaners, labourers & related workers",own account workers,1200
2001,females,"cleaners, labourers & related workers",contributing family workers,4100
2001,females,others,employers,-
2001,females,others,employees,1500
2001,females,others,own account workers,0
2001,females,others,contributing family workers,100
2002,males,managers & administrators (including working proprietors),employers,54900
2002,males,managers & administrators (including working proprietors),employees,92400
2002,males,managers & administrators (including working proprietors),own account workers,24900
2002,males,managers & administrators (including working proprietors),contributing family workers,200
2002,males,professionals,employers,3900
2002,males,professionals,employees,123700
2002,males,professionals,own account workers,6700
2002,males,professionals,contributing family workers,0
2002,males,associate professionals & technicians,employers,900
2002,males,associate professionals & technicians,employees,117400
2002,males,associate professionals & technicians,own account workers,11300
2002,males,associate professionals & technicians,contributing family workers,100
2002,males,clerical support workers,employers,100
2002,males,clerical support workers,employees,49100
2002,males,clerical support workers,own account workers,400
2002,males,clerical support workers,contributing family workers,200
2002,males,service & sales workers,employers,3700
2002,males,service & sales workers,employees,84400
2002,males,service & sales workers,own account workers,18000
2002,males,service & sales workers,contributing family workers,1300
2002,males,craftsmen & related trades workers,employers,1900
2002,males,craftsmen & related trades workers,employees,84700
2002,males,craftsmen & related trades workers,own account workers,9300
2002,males,craftsmen & related trades workers,contributing family workers,300
2002,males,plant & machine operators & assemblers,employers,500
2002,males,plant & machine operators & assemblers,employees,88800
2002,males,plant & machine operators & assemblers,own account workers,37300
2002,males,plant & machine operators & assemblers,contributing family workers,300
2002,males,"cleaners, labourers & related workers",employers,-
2002,males,"cleaners, labourers & related workers",employees,58100
2002,males,"cleaners, labourers & related workers",own account workers,1100
2002,males,"cleaners, labourers & related workers",contributing family workers,900
2002,males,others,employers,0
2002,males,others,employees,60400
2002,males,others,own account workers,300
2002,males,others,contributing family workers,100
2002,females,managers & administrators (including working proprietors),employers,11700
2002,females,managers & administrators (including working proprietors),employees,43500
2002,females,managers & administrators (including working proprietors),own account workers,5400
2002,females,managers & administrators (including working proprietors),contributing family workers,200
2002,females,professionals,employers,1300
2002,females,professionals,employees,98100
2002,females,professionals,own account workers,2600
2002,females,professionals,contributing family workers,100
2002,females,associate professionals & technicians,employers,600
2002,females,associate professionals & technicians,employees,92900
2002,females,associate professionals & technicians,own account workers,11000
2002,females,associate professionals & technicians,contributing family workers,200
2002,females,clerical support workers,employers,200
2002,females,clerical support workers,employees,166200
2002,females,clerical support workers,own account workers,300
2002,females,clerical support workers,contributing family workers,1400
2002,females,service & sales workers,employers,1900
2002,females,service & sales workers,employees,74200
2002,females,service & sales workers,own account workers,11200
2002,females,service & sales workers,contributing family workers,4200
2002,females,craftsmen & related trades workers,employers,100
2002,females,craftsmen & related trades workers,employees,7500
2002,females,craftsmen & related trades workers,own account workers,1100
2002,females,craftsmen & related trades workers,contributing family workers,300
2002,females,plant & machine operators & assemblers,employers,100
2002,females,plant & machine operators & assemblers,employees,43100
2002,females,plant & machine operators & assemblers,own account workers,700
2002,females,plant & machine operators & assemblers,contributing family workers,300
2002,females,"cleaners, labourers & related workers",employers,-
2002,females,"cleaners, labourers & related workers",employees,49900
2002,females,"cleaners, labourers & related workers",own account workers,1100
2002,females,"cleaners, labourers & related workers",contributing family workers,3600
2002,females,others,employers,-
2002,females,others,employees,1000
2002,females,others,own account workers,0
2002,females,others,contributing family workers,-
2003,males,managers & administrators (including working proprietors),employers,54200
2003,males,managers & administrators (including working proprietors),employees,101600
2003,males,managers & administrators (including working proprietors),own account workers,24100
2003,males,managers & administrators (including working proprietors),contributing family workers,-
2003,males,professionals,employers,5500
2003,males,professionals,employees,125000
2003,males,professionals,own account workers,7200
2003,males,professionals,contributing family workers,0
2003,males,associate professionals & technicians,employers,700
2003,males,associate professionals & technicians,employees,116800
2003,males,associate professionals & technicians,own account workers,12600
2003,males,associate professionals & technicians,contributing family workers,200
2003,males,clerical support workers,employers,200
2003,males,clerical support workers,employees,50300
2003,males,clerical support workers,own account workers,400
2003,males,clerical support workers,contributing family workers,100
2003,males,service & sales workers,employers,3900
2003,males,service & sales workers,employees,82400
2003,males,service & sales workers,own account workers,16500
2003,males,service & sales workers,contributing family workers,1300
2003,males,craftsmen & related trades workers,employers,1900
2003,males,craftsmen & related trades workers,employees,78600
2003,males,craftsmen & related trades workers,own account workers,8900
2003,males,craftsmen & related trades workers,contributing family workers,300
2003,males,plant & machine operators & assemblers,employers,800
2003,males,plant & machine operators & assemblers,employees,86200
2003,males,plant & machine operators & assemblers,own account workers,35200
2003,males,plant & machine operators & assemblers,contributing family workers,200
2003,males,"cleaners, labourers & related workers",employers,100
2003,males,"cleaners, labourers & related workers",employees,62400
2003,males,"cleaners, labourers & related workers",own account workers,2000
2003,males,"cleaners, labourers & related workers",contributing family workers,1100
2003,males,others,employers,100
2003,males,others,employees,67800
2003,males,others,own account workers,200
2003,males,others,contributing family workers,100
2003,females,managers & administrators (including working proprietors),employers,11900
2003,females,managers & administrators (including working proprietors),employees,46100
2003,females,managers & administrators (including working proprietors),own account workers,5000
2003,females,managers & administrators (including working proprietors),contributing family workers,200
2003,females,professionals,employers,1600
2003,females,professionals,employees,104600
2003,females,professionals,own account workers,3200
2003,females,professionals,contributing family workers,0
2003,females,associate professionals & technicians,employers,400
2003,females,associate professionals & technicians,employees,95800
2003,females,associate professionals & technicians,own account workers,14100
2003,females,associate professionals & technicians,contributing family workers,200
2003,females,clerical support workers,employers,200
2003,females,clerical support workers,employees,166000
2003,females,clerical support workers,own account workers,400
2003,females,clerical support workers,contributing family workers,1600
2003,females,service & sales workers,employers,2300
2003,females,service & sales workers,employees,76900
2003,females,service & sales workers,own account workers,10000
2003,females,service & sales workers,contributing family workers,3500
2003,females,craftsmen & related trades workers,employers,100
2003,females,craftsmen & related trades workers,employees,6500
2003,females,craftsmen & related trades workers,own account workers,1500
2003,females,craftsmen & related trades workers,contributing family workers,300
2003,females,plant & machine operators & assemblers,employers,100
2003,females,plant & machine operators & assemblers,employees,43400
2003,females,plant & machine operators & assemblers,own account workers,700
2003,females,plant & machine operators & assemblers,contributing family workers,100
2003,females,"cleaners, labourers & related workers",employers,-
2003,females,"cleaners, labourers & related workers",employees,53400
2003,females,"cleaners, labourers & related workers",own account workers,1000
2003,females,"cleaners, labourers & related workers",contributing family workers,3900
2003,females,others,employers,-
2003,females,others,employees,1600
2003,females,others,own account workers,-
2003,females,others,contributing family workers,0
2004,males,managers & administrators (including working proprietors),employers,57500
2004,males,managers & administrators (including working proprietors),employees,91300
2004,males,managers & administrators (including working proprietors),own account workers,26100
2004,males,managers & administrators (including working proprietors),contributing family workers,100
2004,males,professionals,employers,5500
2004,males,professionals,employees,130600
2004,males,professionals,own account workers,8200
2004,males,professionals,contributing family workers,-
2004,males,associate professionals & technicians,employers,1500
2004,males,associate professionals & technicians,employees,127600
2004,males,associate professionals & technicians,own account workers,14100
2004,males,associate professionals & technicians,contributing family workers,100
2004,males,clerical support workers,employers,100
2004,males,clerical support workers,employees,47900
2004,males,clerical support workers,own account workers,500
2004,males,clerical support workers,contributing family workers,300
2004,males,service & sales workers,employers,3500
2004,males,service & sales workers,employees,81400
2004,males,service & sales workers,own account workers,17300
2004,males,service & sales workers,contributing family workers,1200
2004,males,craftsmen & related trades workers,employers,2100
2004,males,craftsmen & related trades workers,employees,77900
2004,males,craftsmen & related trades workers,own account workers,9000
2004,males,craftsmen & related trades workers,contributing family workers,200
2004,males,plant & machine operators & assemblers,employers,500
2004,males,plant & machine operators & assemblers,employees,83700
2004,males,plant & machine operators & assemblers,own account workers,38200
2004,males,plant & machine operators & assemblers,contributing family workers,100
2004,males,"cleaners, labourers & related workers",employers,0
2004,males,"cleaners, labourers & related workers",employees,62100
2004,males,"cleaners, labourers & related workers",own account workers,1600
2004,males,"cleaners, labourers & related workers",contributing family workers,1300
2004,males,others,employers,100
2004,males,others,employees,69100
2004,males,others,own account workers,100
2004,males,others,contributing family workers,-
2004,females,managers & administrators (including working proprietors),employers,12700
2004,females,managers & administrators (including working proprietors),employees,48000
2004,females,managers & administrators (including working proprietors),own account workers,6300
2004,females,managers & administrators (including working proprietors),contributing family workers,200
2004,females,professionals,employers,1500
2004,females,professionals,employees,100200
2004,females,professionals,own account workers,3800
2004,females,professionals,contributing family workers,100
2004,females,associate professionals & technicians,employers,700
2004,females,associate professionals & technicians,employees,103200
2004,females,associate professionals & technicians,own account workers,12400
2004,females,associate professionals & technicians,contributing family workers,200
2004,females,clerical support workers,employers,200
2004,females,clerical support workers,employees,169300
2004,females,clerical support workers,own account workers,500
2004,females,clerical support workers,contributing family workers,1700
2004,females,service & sales workers,employers,2300
2004,females,service & sales workers,employees,82700
2004,females,service & sales workers,own account workers,11300
2004,females,service & sales workers,contributing family workers,4000
2004,females,craftsmen & related trades workers,employers,100
2004,females,craftsmen & related trades workers,employees,6300
2004,females,craftsmen & related trades workers,own account workers,1200
2004,females,craftsmen & related trades workers,contributing family workers,300
2004,females,plant & machine operators & assemblers,employers,200
2004,females,plant & machine operators & assemblers,employees,40800
2004,females,plant & machine operators & assemblers,own account workers,700
2004,females,plant & machine operators & assemblers,contributing family workers,0
2004,females,"cleaners, labourers & related workers",employers,100
2004,females,"cleaners, labourers & related workers",employees,54200
2004,females,"cleaners, labourers & related workers",own account workers,1500
2004,females,"cleaners, labourers & related workers",contributing family workers,3000
2004,females,others,employers,-
2004,females,others,employees,1900
2004,females,others,own account workers,-
2004,females,others,contributing family workers,-
2007,males,managers & administrators (including working proprietors),employers,56600
2007,males,managers & administrators (including working proprietors),employees,118200
2007,males,managers & administrators (including working proprietors),own account workers,26200
2007,males,managers & administrators (including working proprietors),contributing family workers,200
2007,males,professionals,employers,6800
2007,males,professionals,employees,161700
2007,males,professionals,own account workers,10100
2007,males,professionals,contributing family workers,0
2007,males,associate professionals & technicians,employers,1700
2007,males,associate professionals & technicians,employees,133900
2007,males,associate professionals & technicians,own account workers,18900
2007,males,associate professionals & technicians,contributing family workers,300
2007,males,clerical support workers,employers,200
2007,males,clerical support workers,employees,54700
2007,males,clerical support workers,own account workers,400
2007,males,clerical support workers,contributing family workers,200
2007,males,service & sales workers,employers,4200
2007,males,service & sales workers,employees,94600
2007,males,service & sales workers,own account workers,16000
2007,males,service & sales workers,contributing family workers,1400
2007,males,craftsmen & related trades workers,employers,2200
2007,males,craftsmen & related trades workers,employees,76200
2007,males,craftsmen & related trades workers,own account workers,8700
2007,males,craftsmen & related trades workers,contributing family workers,400
2007,males,plant & machine operators & assemblers,employers,500
