month,work_pass_type,count
2015-12,foreign_domestic_worker,"231,500"
2015-12,construction_marine_process,"423,300"
2016-12,foreign_domestic_worker,"239,700"
2016-12,construction_marine_process,"407,500"
2017-12,foreign_domestic_worker,"246,800"
2017-12,construction_marine_process,"360,700"
2018-12,foreign_domestic_worker,"253,800"
2018-12,construction_marine_process,"355,700"
2019-12,foreign_domestic_worker,"261,800"
2019-12,construction_marine_process,"370,100"
2020-06,foreign_domestic_worker,"252,600"
2020-06,construction_marine_process,"351,800"
