,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: National Accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Gross Domestic Product (GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Income Components Of Gross Domestic Product At Current Prices, Quarterly, Seasonally Adjusted",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 24/11/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Million Dollars
Data Series,2021 3Q,2021 2Q,2021 1Q,2020 4Q,2020 3Q,2020 2Q,2020 1Q,2019 4Q,2019 3Q,2019 2Q,2019 1Q,2018 4Q,2018 3Q,2018 2Q,2018 1Q,2017 4Q,2017 3Q,2017 2Q,2017 1Q,2016 4Q,2016 3Q,2016 2Q,2016 1Q,2015 4Q,2015 3Q,2015 2Q,2015 1Q,2014 4Q,2014 3Q,2014 2Q,2014 1Q,2013 4Q,2013 3Q,2013 2Q,2013 1Q,2012 4Q,2012 3Q,2012 2Q,2012 1Q,2011 4Q,2011 3Q,2011 2Q,2011 1Q,2010 4Q,2010 3Q,2010 2Q,2010 1Q,2009 4Q,2009 3Q,2009 2Q,2009 1Q,2008 4Q,2008 3Q,2008 2Q,2008 1Q,2007 4Q,2007 3Q,2007 2Q,2007 1Q,2006 4Q,2006 3Q,2006 2Q,2006 1Q,2005 4Q,2005 3Q,2005 2Q,2005 1Q,2004 4Q,2004 3Q,2004 2Q,2004 1Q,2003 4Q,2003 3Q,2003 2Q,2003 1Q,2002 4Q,2002 3Q,2002 2Q,2002 1Q,2001 4Q,2001 3Q,2001 2Q,2001 1Q,2000 4Q,2000 3Q,2000 2Q,2000 1Q,1999 4Q,1999 3Q,1999 2Q,1999 1Q,1998 4Q,1998 3Q,1998 2Q,1998 1Q,1997 4Q,1997 3Q,1997 2Q,1997 1Q,1996 4Q,1996 3Q,1996 2Q,1996 1Q,1995 4Q,1995 3Q,1995 2Q,1995 1Q,1994 4Q,1994 3Q,1994 2Q,1994 1Q,1993 4Q,1993 3Q,1993 2Q,1993 1Q,1992 4Q,1992 3Q,1992 2Q,1992 1Q,1991 4Q,1991 3Q,1991 2Q,1991 1Q,1990 4Q,1990 3Q,1990 2Q,1990 1Q,1989 4Q,1989 3Q,1989 2Q,1989 1Q,1988 4Q,1988 3Q,1988 2Q,1988 1Q,1987 4Q,1987 3Q,1987 2Q,1987 1Q,1986 4Q,1986 3Q,1986 2Q,1986 1Q,1985 4Q,1985 3Q,1985 2Q,1985 1Q,1984 4Q,1984 3Q,1984 2Q,1984 1Q,1983 4Q,1983 3Q,1983 2Q,1983 1Q,1982 4Q,1982 3Q,1982 2Q,1982 1Q,1981 4Q,1981 3Q,1981 2Q,1981 1Q,1980 4Q,1980 3Q,1980 2Q,1980 1Q
GDP At Current Market Prices,"129,793.1","131,071.7","129,036.4","118,417.1","115,651.0","108,282.6","126,492.3","126,077.1","127,892.9","128,489.6","128,340.7","128,618.3","128,405.3","126,295.4","123,228.6","122,375.7","117,770.1","116,444.0","117,102.4","113,359.5","110,374.5","108,988.8","107,089.3","106,612.2","106,928.2","105,586.7","104,086.5","101,500.1","100,219.8","99,199.6","97,810.2","97,393.0","96,725.1","96,209.0","94,390.7","93,085.2","90,813.9","93,114.7","91,653.4","88,822.3","88,696.1","86,837.6","87,004.7","84,551.1","82,075.7","81,928.9","78,567.5","75,273.0","72,678.7","69,001.1","65,319.1","65,375.3","70,001.0","69,217.0","69,596.8","70,595.3","69,766.3","67,809.2","64,570.7","61,849.3","59,451.6","58,094.1","56,609.6","55,871.3","53,595.4","51,963.4","51,114.6","50,587.5","49,189.7","47,415.5","47,068.8","44,246.5","42,570.0","40,714.6","42,521.8","41,444.2","41,345.2","41,908.7","41,038.7","38,931.8","39,277.8","40,723.2","42,111.1","43,336.3","42,659.8","40,507.5","39,083.6","37,714.2","37,177.8","36,603.9","34,715.8","34,803.3","35,575.2","36,266.4","36,958.6","37,699.7","37,914.9","37,193.9","35,751.5","34,881.6","33,603.6","33,554.4","33,749.0","32,395.6","31,760.2","30,469.5","29,762.4","29,310.3","28,756.2","27,336.3","26,983.0","25,896.0","24,736.6","24,046.0","23,176.0","22,153.2","21,460.8","20,735.7","20,511.3","20,126.6","19,939.7","19,358.9","19,085.2","18,221.9","17,738.7","17,320.7","17,156.7","16,195.9","15,589.8","15,072.1","14,366.9","14,219.1","13,623.5","13,009.0","12,474.1","12,078.0","11,596.0","11,107.8","10,703.1","10,604.0","10,181.5","10,065.7","9,996.3","9,790.8","10,122.2","10,293.8","10,669.3","10,673.1","10,557.0","10,337.9","10,146.9","9,891.8","9,697.0","9,446.8","8,998.9","8,886.7","8,537.3","8,309.7","8,234.5","8,044.9","7,768.8","7,398.1","7,120.6","6,811.5","6,550.3","6,345.5","6,150.1"
  Compensation Of Employees,"53,627.5","53,055.0","51,755.9","51,210.8","50,950.5","51,233.6","51,742.7","51,716.9","52,291.4","51,313.1","50,722.6","50,264.3","49,930.1","49,343.6","48,883.2","48,419.1","47,828.4","47,345.1","46,686.3","46,421.8","46,181.7","46,011.0","45,641.5","45,010.0","44,723.3","44,118.3","43,868.9","42,976.9","42,270.7","41,430.8","40,903.3","40,291.9","39,058.6","38,694.2","37,772.4","37,365.3","36,677.5","36,252.2","35,449.0","34,559.6","34,322.6","33,786.3","33,589.3","32,979.3","31,956.3","30,949.5","30,465.9","29,161.2","29,078.0","28,864.0","28,695.7","27,892.2","28,591.2","27,736.9","27,708.4","27,535.3","26,863.0","26,528.6","24,936.5","24,293.7","23,249.4","22,654.1","21,970.1","21,604.1","21,040.4","20,447.6","20,102.0","20,002.0","19,154.9","18,944.2","18,696.1","18,149.4","18,288.6","18,348.0","18,250.7","18,237.9","18,305.6","17,997.5","17,780.3","17,300.5","18,182.1","18,028.0","18,212.7","18,182.6","17,330.7","16,693.1","16,440.5","15,919.1","15,382.4","15,247.6","14,893.6","15,154.6","15,559.9","15,789.5","15,694.1","15,559.3","15,218.7","14,832.7","14,425.4","14,169.1","13,905.9","13,682.7","13,384.3","13,035.5","12,733.6","12,366.7","12,105.6","11,895.7","11,542.6","11,132.0","10,837.9","10,505.7","10,071.4","9,804.7","9,415.6","9,264.3","9,005.8","8,773.8","8,595.5","8,417.4","8,204.4","8,002.2","7,756.1","7,438.3","7,368.5","6,983.1","6,693.9","6,564.0","6,280.6","5,951.6","5,661.7","5,697.3","5,200.9","5,031.5","4,949.6","4,695.8","4,553.5","4,616.6","4,398.5","4,337.1","4,269.9","4,246.5","4,547.5","4,640.5","4,749.4","4,764.8","4,724.1","4,815.1","4,818.3","4,591.5","4,438.8","4,250.4","4,233.5","4,094.9","4,020.4","3,926.0","3,628.6","3,502.4","3,288.3","3,184.2","2,987.5","2,817.7","2,705.8","2,563.8","2,464.0","2,369.1","2,272.4"
  Gross Operating Surplus,"72,408.7","73,453.8","70,903.6","66,412.2","65,712.4","67,102.8","64,897.4","66,239.9","68,673.0","67,162.8","69,754.9","70,433.6","71,055.0","68,368.1","65,832.4","63,846.6","60,824.3","59,643.7","61,127.7","58,762.5","56,065.5","54,628.0","51,654.8","53,812.2","54,609.0","53,485.1","52,210.1","50,428.6","50,570.2","50,111.6","49,639.6","49,733.4","50,703.1","49,857.7","49,107.2","48,608.8","47,872.8","49,688.4","50,018.6","47,764.8","47,577.6","46,031.0","47,240.9","45,775.5","44,318.9","44,808.1","43,454.0","41,768.6","39,116.3","36,001.5","32,492.7","32,742.5","36,280.6","36,524.6","36,838.3","38,045.1","37,622.0","36,743.5","35,573.5","33,818.6","32,410.6","31,703.2","30,586.0","30,546.3","29,052.0","28,118.1","27,120.5","26,999.6","26,391.8","25,174.9","24,449.6","22,656.3","21,144.0","19,113.1","20,867.6","20,167.7","20,185.3","20,718.8","19,952.1","18,509.4","17,832.7","18,870.9","20,120.0","21,391.4","21,174.3","19,833.2","18,984.7","18,607.9","18,404.0","18,262.9","17,185.5","16,779.5","16,988.2","17,055.0","17,776.6","18,670.6","18,864.1","18,432.2","17,775.9","17,405.8","16,238.2","16,613.2","16,982.0","16,211.1","15,786.4","15,035.3","14,133.0","14,292.7","13,969.2","13,388.5","13,323.1","12,850.1","12,213.9","11,965.7","11,509.2","10,775.5","10,363.2","9,954.8","9,752.1","9,686.9","9,789.5","9,636.3","9,866.4","9,254.1","9,029.6","8,937.0","9,050.3","8,280.8","8,207.6","8,005.4","7,389.4","7,315.2","7,245.3","6,855.5","6,492.1","6,398.8","6,047.8","5,619.4","5,471.9","5,400.4","5,061.9","5,014.3","4,551.7","4,191.3","4,493.9","4,638.9","4,930.7","4,824.9","4,794.4","4,807.9","4,710.3","4,735.3","4,625.4","4,553.8","4,171.0","4,208.4","4,250.9","4,151.6","4,403.7","4,235.0","4,163.4","4,032.1","3,979.4","3,810.1","3,623.6","3,554.3","3,543.6"
  Taxes Less Subsidies On Production & On Imports,"6,344.1","6,704.8","5,879.9","1,403.8",139.9,"-8,547.7","7,812.2","8,862.8","8,978.3","9,144.2","8,755.6","8,613.9","8,660.5","9,497.6","9,075.2","9,938.8","9,432.0","9,234.4","9,051.7","8,649.0","8,883.0","8,560.9","8,639.7","7,861.0","7,946.6","8,009.5","7,477.9","7,618.5","7,545.4","7,549.0","6,853.6","7,525.0","7,338.3","7,676.5","7,160.6","7,534.2","6,930.1","7,212.1","6,534.2","6,796.9","6,748.5","6,693.1","6,407.6","6,018.8","5,869.3","5,570.6","4,903.7","4,085.0","3,896.9","3,339.1","3,233.0","4,491.8","5,134.6","4,876.1","4,960.3","5,281.0","5,533.7","4,791.1","4,397.8","3,613.9","3,302.4","3,246.0","3,493.3","3,375.8","3,064.5","2,982.8","3,459.3","3,428.6","3,196.2","2,901.7","3,482.6","3,002.4","2,852.0","2,963.1","2,963.2","2,834.7","2,748.8","2,885.0","2,903.3","2,854.0","3,056.3","3,571.2","3,459.5","3,579.0","3,787.7","3,637.6","3,533.9","3,207.0","3,433.4","2,911.6","2,514.2","2,872.5","3,001.0","3,232.6","3,172.4","3,589.8","3,843.5","3,900.0","3,484.8","3,446.3","3,519.2","3,265.6","3,386.9","3,144.9","3,172.8","3,055.5","3,473.6","3,066.9","3,186.2","2,781.4","2,736.8","2,514.0","2,408.9","2,287.6","2,174.4","1,918.7","1,941.8","1,821.3","1,853.8","1,713.7","1,635.1","1,482.2","1,403.4","1,463.7","1,337.7","1,377.1","1,566.4","1,437.6","1,222.2","1,128.0","1,360.6","1,060.1",985.6,883.5,911.4,804.9,803.3,689.5,733.9,659.8,669.8,607.6,741.8,709.5,819.2,860.7,914.9,882.0,891.5,857.9,870.2,809.8,772.8,737.2,702.6,668.1,616.1,626.5,578.5,584.5,569.1,515.8,508.8,481.6,472.0,441.2,427.5
    Other Taxes Less Subsidies On Production,-941.5,-954.9,"-1,158.9","-4,969.2","-5,660.7","-12,062.9","1,731.0","2,376.8","2,442.7","2,464.3","2,487.9","2,295.7","2,360.3","2,342.0","2,303.5","2,185.5","2,175.4","2,227.9","2,218.7","2,061.6","2,066.1","2,037.4","2,004.2","1,815.3","1,743.4","1,720.7","1,754.8","2,017.3","2,050.0","1,911.5","1,839.3","2,003.4","1,938.5","1,832.9","1,757.3","1,872.6","1,798.8","1,743.9","1,656.3","1,837.0","1,756.4","1,616.4","1,459.7","1,398.9","1,190.5","1,045.9",807.6,132.7,90.7,55.2,343.4,"1,451.3","1,325.7","1,238.6","1,202.9","1,197.7","1,163.1","1,106.7","1,024.1",988.9,967.9,924.1,931.4,884.7,850.4,818.6,831.0,836.7,805.2,839.4,845.6,709.9,616.9,654.0,685.8,687.8,749.0,657.0,659.6,617.6,752.7,"1,141.3",872.6,785.6,881.7,786.6,835.2,825.4,911.9,795.2,836.1,"1,225.6","1,129.1","1,358.0","1,298.4","1,501.1","1,450.0","1,388.2","1,356.2","1,379.0","1,355.4","1,218.5","1,202.3","1,084.3","1,087.6","1,145.0","1,099.5","1,109.9","1,046.5","1,138.5","1,003.3","1,034.3",962.1,941.5,875.9,854.5,826.9,761.4,802.7,768.1,717.6,697.8,656.4,699.4,609.2,574.9,594.2,549.0,517.0,477.7,423.9,381.2,374.7,366.6,332.6,314.0,302.0,307.6,295.8,288.0,312.3,286.9,347.4,358.7,415.8,487.4,504.7,496.4,494.5,470.1,479.1,442.3,430.0,387.3,355.0,353.6,320.9,331.0,293.6,307.2,286.0,254.1,238.9,235.8,223.3,208.5,195.0
    Taxes On Products,"7,285.6","7,659.7","7,038.8","6,373.0","5,800.6","3,515.2","6,081.2","6,486.0","6,535.6","6,679.9","6,267.7","6,318.2","6,300.2","7,155.6","6,771.7","7,753.3","7,256.6","7,006.5","6,833.0","6,587.4","6,816.9","6,523.5","6,635.5","6,045.7","6,203.2","6,288.8","5,723.1","5,601.2","5,495.4","5,637.5","5,014.3","5,521.6","5,399.8","5,843.6","5,403.3","5,661.6","5,131.3","5,468.2","4,877.9","4,959.9","4,992.1","5,076.7","4,947.9","4,619.9","4,678.8","4,524.7","4,096.1","3,952.3","3,806.2","3,283.9","2,889.6","3,040.5","3,808.9","3,637.5","3,757.4","4,083.3","4,370.6","3,684.4","3,373.7","2,625.0","2,334.5","2,321.9","2,561.9","2,491.1","2,214.1","2,164.2","2,628.3","2,591.9","2,391.0","2,062.3","2,637.0","2,292.5","2,235.1","2,309.1","2,277.4","2,146.9","1,999.8","2,228.0","2,243.7","2,236.4","2,303.6","2,429.9","2,586.9","2,793.4","2,906.0","2,851.0","2,698.7","2,381.6","2,521.5","2,116.4","1,678.1","1,646.9","1,871.9","1,874.6","1,874.0","2,088.7","2,393.5","2,511.8","2,128.6","2,067.3","2,163.8","2,047.1","2,184.6","2,060.6","2,085.2","1,910.5","2,374.1","1,957.0","2,139.7","1,642.9","1,733.5","1,479.7","1,446.8","1,346.1","1,298.5","1,064.2","1,114.9","1,059.9","1,051.1",945.6,917.5,784.4,747.0,764.3,728.5,802.2,972.2,888.6,705.2,650.3,936.7,678.9,610.9,516.9,578.8,490.9,501.3,381.9,438.1,371.8,357.5,320.7,394.4,350.8,403.4,373.3,410.2,385.6,397.0,387.8,391.1,367.5,342.8,349.9,347.6,314.5,295.2,295.5,284.9,277.3,283.1,261.7,269.9,245.8,248.7,232.7,232.5
  Statistical Discrepancies,"-2,587.2","-2,141.9",497.0,-609.7,"-1,151.8","-1,506.1","2,040.0",-742.5,"-2,049.8",869.5,-892.4,-693.5,"-1,240.3",-913.9,-562.2,171.2,-314.6,220.8,236.7,-473.8,-755.7,-211.1,"1,153.3",-71.0,-350.7,-26.2,529.6,476.1,-166.5,108.2,413.7,-157.3,-374.9,-19.4,350.5,-423.1,-666.5,-38.0,-348.4,-299.0,47.4,327.2,-233.1,-222.5,-68.8,600.7,-256.1,258.2,587.5,796.5,897.7,248.8,-5.4,79.4,89.8,-266.1,-252.4,-254.0,-337.1,123.1,489.2,490.8,560.2,345.1,438.5,414.9,432.8,157.3,446.8,394.7,440.5,438.4,285.4,290.4,440.3,203.9,105.5,307.4,403.0,267.9,206.7,253.1,318.9,183.3,367.1,343.6,124.5,-19.8,-42.0,181.8,122.5,-3.3,26.1,189.3,315.5,-120.0,-11.4,29.0,65.4,-139.6,-59.7,-7.1,-4.2,4.1,67.4,12.0,50.2,55.0,58.2,34.4,85.2,26.2,42.4,-12.0,76.8,194.7,150.0,185.8,309.9,308.6,310.7,238.2,59.3,65.8,2.9,23.5,-153.9,-86.5,-120.6,-12.9,-44.8,146.5,191.7,238.5,121.0,178.5,191.4,182.3,98.8,206.7,179.9,197.3,155.3,249.5,59.7,29.4,99.6,151.1,52.8,80.6,127.6,96.3,65.3,60.9,104.9,84.2,41.7,29.2,-36.0,41.2,48.8,32.5,-73.4,-44.0,-9.3,-19.1,-93.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
